N	3gram	Bakhtin_Pr	Vladivir
1	в том что	10	29
2	о том что	5	22
3	в то время	3	13
4	во всяком случае	3	12
5	в конце концов	7	11
6	в то же	10	10
7	с точки зрения	21	10
8	не может быть	8	10
9	как раз и	2	9
10	то же время	10	9
11	в этом смысле	12	9
12	том что он	4	6
13	в данном случае	3	6
14	в отличие от	3	6
15	как мы видели	3	6
16	с другой стороны	3	6
17	и в этом	8	6
18	само по себе	4	6
19	бы то ни	3	5
20	то время как	2	5
21	и в то	3	5
22	не только в	2	5
23	и в его	3	5
24	и в том	2	5
25	он не только	2	5
26	по крайней мере	3	4
27	можно сказать что	3	4
28	как мы уже	2	4
29	в этом отношении	7	4
30	можно было бы	4	4
31	заключается в том	2	4
32	для того чтобы	3	4
33	с самого начала	3	3
34	начала и до	2	3
35	только то что	2	3
36	нам кажется что	2	3
37	в самом деле	5	3
38	и до конца	4	3
39	но это не	3	3
40	с начала и	2	3
41	хотя бы и	3	3
42	это вовсе не	2	3
43	тем более что	2	3
44	раз и навсегда	2	3
45	а не только	2	2
46	но в то	5	2
47	как мы сказали	2	2
48	к нему и	2	2
49	так же как	4	2
50	в том и	2	2
51	до сих пор	3	2
52	совершенно так же	2	2
53	то ни было	2	2
54	это и есть	3	2
