N	2gram	Tiupa_Disk	Problema
1	и в	27	182
2	то есть	29	165
3	и не	25	152
4	то что	10	144
5	не есть	3	113
6	не только	36	104
7	потому что	7	89
8	в этом	29	88
9	может быть	29	82
10	том что	27	81
11	в том	29	81
12	только в	9	73
13	сказать что	4	72
14	но и	22	70
15	также и	6	68
16	и даже	4	66
17	по себе	3	64
18	не менее	6	58
19	о том	12	57
20	так и	14	56
21	а не	35	56
22	но в	15	55
23	ни в	7	51
24	и вообще	2	48
25	отнюдь не	11	48
26	в себе	22	48
27	в своей	10	45
28	прежде всего	17	45
29	что в	8	44
30	в его	9	44
31	все эти	2	43
32	не в	8	43
33	таким образом	4	42
34	то же	12	42
35	и то	4	40
36	что он	6	40
37	и что	2	40
38	не может	17	39
39	в этой	5	39
40	такого рода	11	39
41	и тем	2	39
42	во всяком	3	39
43	как бы	9	39
44	той или	6	38
45	в данном	9	38
46	хотя бы	3	37
47	того что	4	37
48	в нем	16	37
49	еще не	20	36
50	точки зрения	6	36
51	и все	5	36
52	в виду	2	34
53	и с	2	34
54	указывает на	2	34
55	как и	27	34
56	уже не	7	34
57	не является	5	33
58	или иной	8	33
59	же самое	2	33
60	в то	8	32
61	едва ли	2	32
62	но не	17	32
63	в своем	11	31
64	связи с	4	31
65	все это	2	31
66	но это	3	31
67	с другой	14	30
68	некоторого рода	2	29
69	как мы	2	29
70	перед нами	4	29
71	все же	8	29
72	об этом	3	29
73	можно сказать	7	29
74	данном случае	6	28
75	и о	4	28
76	что же	4	28
77	мы не	2	28
78	а в	5	28
79	и как	9	27
80	и это	3	27
81	хотя и	3	27
82	по крайней	3	26
83	в результате	3	26
84	как будто	3	26
85	вместе с	3	26
86	это не	5	26
87	крайней мере	3	26
88	да и	2	26
89	другой стороны	5	26
90	и его	4	26
91	тем самым	6	25
92	с точки	3	25
93	и на	8	25
94	всяком случае	2	25
95	в нашем	2	24
96	тут же	3	23
97	содержит в	3	23
98	при этом	22	23
99	в качестве	45	23
100	по своему	3	23
