N	2gram	Tiupa_Anal	Tragedij
1	и в	30	18
2	в романе	2	10
3	в этом	31	9
4	не только	30	8
5	и не	33	7
6	и на	10	7
7	как бы	15	7
8	и с	2	7
9	может быть	33	7
10	же время	7	6
11	что он	3	6
12	но в	11	6
13	и его	9	6
14	у него	5	6
15	несмотря на	5	5
16	все же	4	5
17	это не	7	5
18	то же	12	5
19	как и	23	5
20	так и	16	5
21	не может	26	5
22	в то	10	5
23	что в	7	4
24	еще не	5	4
25	в целом	9	4
26	но и	29	4
27	прежде всего	8	4
28	том что	21	4
29	в этой	12	4
30	и что	2	4
31	и все	5	4
32	все это	2	4
33	в нем	3	4
34	то что	11	4
35	я не	2	4
36	и даже	10	4
37	в себе	17	4
38	один из	4	3
39	своего рода	12	3
40	и как	6	3
41	в мире	14	3
42	тем самым	9	3
43	к нему	4	3
44	в своем	2	3
45	при этом	20	3
46	в его	15	3
47	все эти	3	3
48	в поле	4	3
49	отнюдь не	22	3
50	о чем	3	3
51	с ее	2	3
52	и сам	4	3
53	как будто	6	3
54	никто не	3	3
55	должно быть	2	3
56	один в	2	3
57	как в	3	3
58	как это	5	3
59	для него	5	3
60	то есть	19	3
61	в конце	4	3
62	с ним	6	3
63	никогда не	4	2
64	в рассказе	2	2
65	в самом	12	2
66	и то	4	2
67	данном случае	3	2
68	по поводу	4	2
69	тем что	2	2
70	вопрос о	2	2
71	в одном	3	2
72	его в	2	2
73	раз и	2	2
74	ничего не	10	2
75	то и	2	2
76	в данном	6	2
77	не могут	3	2
78	в ее	2	2
79	что все	2	2
80	к тому	12	2
81	а как	4	2
82	говорит о	5	2
83	о том	11	2
84	в ходе	5	2
85	о его	5	2
86	что и	5	2
87	ни в	5	2
88	тут же	2	2
89	не в	17	2
90	столь же	7	2
91	потому что	3	2
92	о жизни	3	2
93	жизнью и	2	2
94	не просто	2	2
95	в частности	32	2
96	в таком	5	2
97	так что	3	2
98	он не	4	2
99	и за	3	2
100	в первом	3	2
101	уже не	6	2
102	личности и	3	2
103	не так	3	2
104	отличие от	8	2
105	из своих	2	2
106	в том	36	2
107	и до	3	2
108	но при	2	2
109	который в	3	2
110	не случайно	11	2
111	в отличие	8	2
112	как говорит	3	2
113	не был	2	2
114	не мог	3	2
115	еще в	4	2
116	он и	3	2
117	с его	3	2
118	он был	3	2
119	времени в	4	2
120	отношение к	2	2
