N	3gram	Losev_Dial	Literetu
1	в то же	3	21
2	то же время	3	21
3	в том что	12	21
4	с одной стороны	3	12
5	в данном случае	3	11
6	не может быть	12	11
7	о том что	6	10
8	так или иначе	2	10
9	в этом отношении	2	10
10	с точки зрения	25	8
11	не говоря уже	6	8
12	с другой стороны	3	7
13	говоря уже о	6	6
14	из того что	2	6
15	к тому же	2	6
16	подобно тому как	5	6
17	тем не менее	10	5
18	этой точки зрения	4	5
19	с этой точки	4	5
20	в связи с	3	5
21	и прежде всего	6	4
22	бы то ни	2	4
23	во всяком случае	3	3
24	той или иной	2	3
25	по крайней мере	10	3
26	в самом деле	6	3
27	на то что	3	3
28	и в частности	2	3
29	а не только	2	2
30	одно и то	2	2
31	и то же	2	2
32	имеется в виду	5	2
33	не только не	7	2
34	к тому что	2	2
35	и не только	5	2
36	тех или иных	2	2
37	в сравнении с	5	2
