N	3gram	Voloshinov	Problema
1	тем не менее	3	56
2	о том что	2	39
3	в том что	9	37
4	то же самое	8	30
5	в настоящее время	6	30
6	в связи с	12	29
7	той или иной	5	26
8	во всяком случае	4	25
9	с точки зрения	31	25
10	с другой стороны	6	25
11	в конце концов	3	23
12	в таком случае	5	23
13	сама по себе	2	21
14	на то что	2	19
15	в этом смысле	2	19
16	для того чтобы	7	17
17	в то же	7	17
18	до сих пор	10	14
19	в этом случае	3	14
20	на самом деле	5	13
21	ничего общего с	2	13
22	можно было бы	2	13
23	того или иного	2	13
24	не может быть	23	12
25	можно сказать что	4	12
26	так или иначе	2	12
27	бы то ни	11	11
28	с одной стороны	2	11
29	более или менее	3	10
30	вовсе не является	3	10
31	не только в	2	10
32	в той или	3	10
33	может быть и	8	9
34	на самом же	5	8
35	самом же деле	5	8
36	мы не будем	3	8
37	с самого начала	9	7
38	к тому же	2	7
39	но и в	3	7
40	это и есть	2	7
41	тот или иной	2	7
42	и то же	3	6
43	так и в	2	6
44	ни в какой	2	6
45	само по себе	2	6
46	то ни было	11	6
47	на первый план	2	6
48	есть прежде всего	2	6
49	в самом деле	13	6
50	в этом отношении	4	6
51	в собственном смысле	2	5
52	и прежде всего	4	5
53	же как и	2	5
54	том что он	3	5
55	одно и то	3	5
56	в зависимости от	2	5
57	так же как	2	5
58	в том числе	3	5
59	если мы возьмем	2	5
60	как мы видели	4	4
61	в коем случае	2	4
62	одним и тем	2	4
63	вопрос о том	2	4
64	если мы скажем	2	4
65	уже с самого	2	4
66	и тем же	2	4
67	не было бы	3	4
68	отношение знака к	2	4
69	но все же	4	4
70	у нас не	3	4
71	и не в	3	4
72	собственном смысле слова	2	4
73	связи с этим	3	4
74	ни в коем	2	4
75	том числе и	3	4
76	до тех пор	2	4
77	как мы уже	3	4
78	от того что	2	3
79	но в то	6	3
80	к тому что	4	3
81	если бы он	3	3
82	отнюдь не является	5	3
83	в чем же	2	3
84	или может быть	2	3
85	одного и того	9	3
86	как мы сказали	4	3
87	как мы увидим	2	3
88	в отличие от	7	3
89	себе отчет в	2	3
90	и того же	9	3
91	каких бы то	3	2
92	и здесь мы	3	2
93	все более и	2	2
94	по отношению к	9	2
95	одной и той	2	2
96	а не в	3	2
97	является одним из	2	2
98	или хотя бы	2	2
99	а следовательно и	2	2
100	и не может	11	2
101	более и более	2	2
102	в свою очередь	5	2
103	и тот же	3	2
104	является для него	2	2
105	мы ни взяли	3	2
106	и той же	2	2
107	прав в том	2	2
108	один и тот	3	2
109	является не только	4	2
