N	3gram	Bakhtin_Fr	Mirosoze
1	не может быть	4	28
2	в том что	8	9
3	это и есть	2	9
4	для того чтобы	8	7
5	в нем есть	2	7
6	о том что	5	6
7	и в этой	2	6
8	вместе с тем	2	6
9	но и в	3	5
10	до сих пор	3	5
11	что и в	2	5
12	потому что он	3	4
13	можно было бы	2	4
14	в то время	3	4
15	же как и	2	3
16	как и все	5	3
17	также и в	2	3
18	потому что она	2	3
19	так же как	4	3
20	как бы в	2	2
21	в разных местах	2	2
22	как и во	2	2
23	между тем как	2	2
24	подобно тому как	2	2
25	в этом отношении	7	2
26	в нем не	4	2
27	он не только	2	2
