N	2gram	Vygotskiy_	Otkroven
1	у него	9	22
2	и в	55	19
3	но и	16	13
4	и не	19	13
5	в этом	30	12
6	не только	24	11
7	человека в	3	11
8	не в	12	11
9	а не	16	11
10	может быть	34	11
11	и все	15	10
12	в нем	13	10
13	вопрос о	6	10
14	никогда не	15	9
15	потому что	48	9
16	не было	2	9
17	прежде всего	6	9
18	и он	7	8
19	он был	3	8
20	в его	8	7
21	до конца	7	7
22	от него	5	7
23	он не	10	7
24	но он	6	7
25	как и	9	6
26	все это	8	6
27	для него	5	5
28	а в	7	5
29	в том	50	5
30	в самом	18	5
31	то что	69	5
32	в этой	15	5
33	до самого	2	5
34	и его	10	4
35	что в	43	4
36	того чтобы	43	4
37	все эти	5	4
38	не может	15	4
39	что не	5	4
40	в легенде	2	4
41	с его	6	4
42	в себе	13	3
43	и от	2	3
44	о том	24	3
45	это не	9	3
46	не могут	4	3
47	что он	30	3
48	и вот	7	3
49	было бы	15	3
50	для того	45	3
51	еще не	6	3
52	и есть	7	3
53	в этих	3	3
54	в своих	9	3
55	когда он	10	3
56	никто не	4	3
57	как бы	33	3
58	хотя бы	5	3
59	нем нет	3	3
60	могут быть	8	3
61	это было	4	3
62	с ним	4	3
63	того что	12	3
64	и то	12	2
65	сказать что	14	2
66	и на	12	2
67	с тем	10	2
68	уже в	7	2
69	мысль о	5	2
70	и для	13	2
71	в уста	3	2
72	совсем не	3	2
73	и там	2	2
74	что все	12	2
75	не имеет	2	2
76	не могли	4	2
77	ничего не	4	2
78	и с	3	2
79	что и	11	2
80	ее в	2	2
81	на периферии	2	2
82	и потому	8	2
83	и ни	4	2
84	в ее	3	2
85	в своем	12	2
86	тем что	8	2
87	но в	7	2
88	том что	46	2
89	к этой	2	2
90	что для	6	2
91	все же	11	2
92	самого конца	2	2
93	ко всем	2	2
94	в своей	8	2
95	он в	3	2
96	так как	20	2
97	с чем	3	2
98	по себе	13	2
99	что у	7	2
100	должен был	7	2
101	что они	11	2
102	так что	8	2
103	даже и	2	2
104	не все	3	2
105	должно быть	6	2
106	и о	5	2
107	не есть	4	2
108	в душе	2	2
109	с которой	2	2
110	к этому	5	2
111	и к	5	2
112	так и	6	2
113	и очень	5	2
114	в которой	4	2
115	которую он	2	2
116	к ней	3	2
117	его не	2	2
118	и из	3	2
119	в другом	3	2
120	что есть	3	2
121	их не	2	2
122	чем в	3	2
123	его в	2	2
