N	2gram	Vygotskiy_	StatiiOP
1	и в	47	103
2	в том	38	89
3	том что	28	77
4	в этом	47	76
5	что в	23	74
6	не только	36	60
7	о том	5	47
8	но и	19	46
9	то что	40	44
10	что он	13	42
11	в его	7	42
12	и не	27	41
13	может быть	20	38
14	было бы	12	32
15	в этой	7	31
16	вовсе не	3	31
17	все это	5	29
18	тем что	14	29
19	таким образом	38	28
20	а в	3	27
21	а не	7	27
22	но в	9	26
23	что это	7	25
24	так и	8	25
25	этом отношении	7	24
26	и его	14	24
27	все же	7	23
28	не в	7	23
29	так что	8	23
30	точки зрения	39	23
31	потому что	26	23
32	того что	27	22
33	в области	5	22
34	прежде всего	9	22
35	для того	24	22
36	у нас	3	22
37	в которой	16	22
38	как в	7	22
39	того чтобы	26	21
40	это не	6	20
41	до сих	6	20
42	в то	10	19
43	сих пор	6	19
44	в своей	4	19
45	только в	24	19
46	об этом	4	18
47	не может	23	18
48	но также	3	18
49	с другой	7	18
50	в котором	6	18
51	он не	5	18
52	самом деле	6	17
53	в данном	7	17
54	как на	8	17
55	в самом	15	17
56	как бы	13	17
57	с этим	5	16
58	сказать что	18	16
59	в ней	5	16
60	можно было	7	16
61	если бы	8	16
62	в этих	2	16
63	в отношении	9	15
64	с тем	8	15
65	как и	19	15
66	для него	6	15
67	например в	5	15
68	по поводу	3	15
69	другой стороны	3	15
70	из этих	6	15
71	я не	3	15
72	также и	2	15
73	и на	4	15
74	у него	2	15
75	как раз	6	15
76	была бы	3	14
77	к тому	13	14
78	между тем	2	14
79	то же	16	14
80	но все	2	14
81	с точки	31	14
82	и что	14	14
83	в своем	3	13
84	в конце	5	13
85	а с	3	13
86	тому что	14	13
87	но это	4	13
88	в качестве	9	13
89	в нем	6	13
90	во всяком	2	13
91	именно в	9	13
92	из них	2	13
93	в той	7	13
94	вместе с	19	13
95	не менее	6	12
96	что они	11	12
97	так как	25	12
98	в первой	3	12
99	что у	4	12
100	ни в	3	12
101	в своих	2	12
102	никогда не	7	11
103	вопрос о	9	11
104	и с	5	11
105	в другом	3	11
106	в них	3	11
107	все эти	7	11
108	и по	6	11
109	того как	6	11
110	это было	2	11
111	на то	5	11
112	ясно что	4	11
113	на самом	3	10
114	в каком	2	10
115	так же	26	10
116	ответ на	3	10
117	в виду	5	10
118	в частности	4	10
119	на вопрос	6	10
120	ничего не	2	10
121	в целом	7	10
122	что и	4	10
123	в начале	6	10
124	во всех	9	10
125	во второй	5	10
126	но не	13	10
127	что такое	2	10
128	но он	3	10
129	в каждом	3	9
130	в чем	5	9
131	что же	3	9
132	несмотря на	2	9
133	по этому	4	9
134	там где	7	9
135	во время	2	9
136	можно сказать	9	9
137	в одном	4	9
138	говорит что	3	9
139	не является	4	9
140	с этой	5	9
141	и для	5	9
142	и к	11	9
143	для нас	4	9
144	что мы	14	9
145	внимание на	4	9
146	что эта	7	9
147	и тем	10	9
148	и это	2	9
149	до конца	8	8
150	могут быть	7	8
151	отношение к	8	8
152	к которому	3	8
153	в их	4	8
154	связано с	4	8
155	той же	13	8
156	в какой	6	8
157	связи с	4	8
158	к этому	2	8
159	мы имеем	3	8
160	это в	2	8
161	что она	8	8
162	в результате	3	8
163	тем не	4	8
164	и даже	3	8
165	должен был	2	8
166	в речи	6	8
167	одним из	3	8
168	совершенно не	2	8
169	такой же	4	8
170	и о	4	8
171	заключается в	14	8
172	и более	2	8
173	не имеет	6	8
174	в которых	3	8
