N	2gram	Propp_Isto	Sovremen
1	не может	10	17
2	точки зрения	3	12
3	может быть	31	12
4	таким образом	21	11
5	мы не	6	9
6	и в	44	7
7	в этом	20	7
8	и не	19	6
9	ничего не	4	6
10	как и	12	6
11	только одна	3	6
12	мы можем	6	6
13	все эти	11	5
14	и наконец	2	5
15	прежде всего	7	5
16	вопрос о	5	4
17	мы видели	9	4
18	это не	8	4
19	не только	17	4
20	в том	13	4
21	мы должны	7	4
22	как бы	4	4
23	их в	7	4
24	так как	19	4
25	в дальнейшем	6	4
26	в целом	4	4
27	в развитии	2	4
28	жизни и	4	4
29	вместе с	26	4
30	а в	9	4
31	из них	4	4
32	для нас	6	3
33	и мы	3	3
34	он может	4	3
35	видели что	2	3
36	и потому	2	3
37	на этой	5	3
38	но в	7	3
39	при этом	4	3
40	из двух	2	3
41	но мы	5	3
42	состоит из	4	3
43	не в	11	3
44	все же	17	3
45	он в	3	3
46	как он	6	3
47	было бы	2	3
48	уже в	4	3
49	еще не	16	3
50	одна из	6	3
51	и все	4	3
52	все это	4	3
53	в нем	10	3
54	а не	5	3
55	и к	3	3
56	что она	3	3
57	в этой	5	3
58	то же	9	3
59	в одном	2	3
60	его развития	2	3
61	ясно что	5	3
62	может иметь	2	2
63	но все	8	2
64	на этот	2	2
65	и по	3	2
66	не знаем	3	2
67	что все	4	2
68	которой он	2	2
69	роль в	3	2
70	а на	2	2
71	не менее	6	2
72	той же	2	2
73	дает нам	2	2
74	не могут	2	2
75	известных нам	2	2
76	мы видим	12	2
77	в его	16	2
78	он должен	2	2
79	с этим	7	2
80	и пр	6	2
81	и что	13	2
82	с другом	2	2
83	такого рода	2	2
84	приводит к	2	2
85	что при	5	2
86	из этих	5	2
87	ее на	2	2
88	и есть	3	2
89	или же	6	2
90	в виде	13	2
91	знаем что	10	2
92	что в	18	2
93	совершенно не	2	2
94	в таком	2	2
95	в которой	4	2
96	у него	7	2
97	такой же	3	2
98	в некоторых	6	2
99	самом деле	2	2
100	уже не	14	2
101	в свою	3	2
102	не будем	6	2
103	и они	5	2
104	этой стадии	4	2
105	могут быть	9	2
106	только один	3	2
107	с одной	7	2
108	на этом	5	2
109	как мы	9	2
110	не дает	2	2
111	мы знаем	12	2
112	что это	8	2
113	тем не	6	2
114	на котором	3	2
115	из которых	7	2
116	и даже	4	2
117	в которую	2	2
118	друг с	2	2
119	некоторое время	2	2
