N	3gram	Nazirov_Tv	Analitik
1	в том что	8	25
2	не может быть	2	19
3	по отношению к	3	18
4	в то же	19	16
5	о том что	6	15
6	в данном случае	2	14
7	то же время	18	14
8	в отличие от	2	14
9	в конечном счете	4	11
10	с другой стороны	2	9
11	по крайней мере	4	9
12	в свою очередь	2	9
13	не только в	2	8
14	как и в	2	8
15	во всяком случае	2	7
16	в таком случае	2	7
17	тем не менее	2	6
18	в русской литературе	2	5
19	в самом деле	2	4
20	в соответствии с	7	4
21	в известном смысле	2	4
22	едва ли не	2	4
23	и не может	2	4
24	и т п	4	3
25	и все же	3	3
26	не могут быть	2	3
27	и сам автор	2	3
28	в связи с	2	3
29	в этой связи	2	3
30	можно сказать что	2	3
31	сами по себе	2	3
32	дело в том	4	3
33	на этот вопрос	2	2
34	при этом он	2	2
35	но в то	5	2
36	в одной из	4	2
37	войне и мире	2	2
38	о свободе воли	2	2
