N	2gram	Bakhtin_Pr	Poddanst
1	не только	14	17
2	и в	83	14
3	и не	41	12
4	в области	6	11
5	в этом	24	10
6	в отношении	3	10
7	но в	12	9
8	то же	10	9
9	в том	22	9
10	хотя бы	6	8
11	в пределах	8	8
12	в то	8	7
13	только в	10	7
14	же время	8	7
15	но и	16	6
16	было бы	6	6
17	в смысле	2	6
18	в ней	8	6
19	xix века	2	6
20	а я	3	5
21	с другой	4	5
22	не в	10	5
23	и о	3	5
24	в которых	2	5
25	отношении к	2	5
26	может быть	23	5
27	по себе	3	4
28	что в	5	4
29	и потому	6	4
30	в своем	2	4
31	том что	9	4
32	а также	4	4
33	мы должны	4	4
34	в котором	8	4
35	и к	13	4
36	как бы	27	4
37	и если	4	4
38	то что	14	4
39	не может	18	4
40	а в	4	4
41	что мы	2	3
42	но не	9	3
43	тем самым	2	3
44	это не	10	3
45	с точки	13	3
46	мы не	7	3
47	я и	2	3
48	в себе	10	3
49	точки зрения	17	3
50	потому что	9	3
51	в нем	21	3
52	между тем	2	3
53	и без	4	3
54	могут быть	5	3
55	прежде всего	20	3
56	хотя и	10	3
57	тот же	2	3
58	с ними	2	3
59	наряду с	6	3
60	должно быть	4	2
61	не о	2	2
62	да и	3	2
63	в них	4	2
64	в жизни	14	2
65	в мире	8	2
66	если в	2	2
67	одна из	9	2
68	для них	2	2
69	не к	3	2
70	в эту	3	2
71	и это	3	2
72	слова но	3	2
73	и тем	4	2
74	и других	12	2
75	в его	15	2
76	с этим	3	2
77	по сравнению	6	2
78	в xix	3	2
79	в общем	2	2
80	не менее	4	2
81	говорить о	2	2
82	время в	2	2
83	именно в	3	2
84	где в	2	2
85	именно как	3	2
86	в начале	2	2
87	еще более	6	2
88	тем более	2	2
89	все это	11	2
90	но к	4	2
91	том числе	15	2
92	и пусть	2	2
93	а не	19	2
94	во всей	5	2
95	не было	5	2
96	например в	8	2
97	и с	10	2
98	не будем	4	2
99	во всех	15	2
100	в ее	3	2
101	жизнь которую	2	2
102	xix веке	3	2
103	как раз	6	2
104	есть в	7	2
105	главным образом	3	2
106	из них	7	2
