N	2gram	Vygotskiy_	RusskieA
1	и в	38	79
2	в том	59	64
3	том что	44	59
4	что в	31	57
5	не только	16	41
6	во время	3	38
7	так как	19	34
8	в этом	35	33
9	состоит в	4	32
10	как бы	17	31
11	но и	9	31
12	в других	2	30
13	как и	20	28
14	может быть	25	28
15	и на	9	28
16	одна из	2	24
17	о том	6	23
18	с в	2	23
19	при этом	13	22
20	это не	5	20
21	как мы	14	20
22	а в	7	20
23	из них	5	19
24	все это	8	18
25	с тем	18	17
26	потому что	14	17
27	показывает что	9	17
28	то что	27	17
29	об этом	2	17
30	таким образом	36	17
31	вместе с	18	17
32	мы не	14	16
33	во многих	3	16
34	один из	8	15
35	мы видели	8	14
36	для нас	6	14
37	не менее	8	14
38	в них	3	14
39	как это	16	14
40	тем не	6	14
41	и не	16	14
42	и с	5	14
43	и что	15	14
44	так что	3	13
45	и по	5	13
46	к этому	5	13
47	не может	11	13
48	еще не	6	13
49	как в	14	13
50	уже не	3	13
51	в которых	3	13
52	в виде	4	12
53	между собой	15	12
54	этом случае	4	12
55	мы имеем	6	12
56	тем что	12	12
57	полагает что	2	12
58	что на	2	11
59	следующим образом	4	11
60	а затем	4	11
61	но это	7	11
62	мы увидим	4	11
63	не имеет	3	11
64	далеко не	2	11
65	его в	8	10
66	и других	4	10
67	так и	11	10
68	по существу	4	10
69	между тем	10	10
70	все же	11	10
71	что и	14	10
72	а также	6	10
73	в течение	2	10
74	том чтобы	2	10
75	представляет собой	6	10
76	или в	4	10
77	том же	3	9
78	но в	4	9
79	к жизни	2	9
80	и все	5	9
81	что они	23	9
82	того как	5	9
83	с ней	4	9
84	то же	18	9
85	но не	7	9
86	так же	26	8
87	того что	17	8
88	одно из	2	8
89	как уже	8	8
90	на себя	2	8
91	того чтобы	15	8
92	их в	6	8
93	же в	3	8
94	связи с	14	8
95	что это	8	8
96	как например	2	8
97	во всех	3	8
98	ее в	2	8
99	для того	14	8
100	в этих	4	8
101	что по	2	8
102	тому как	2	8
103	в своем	9	7
104	мы должны	15	7
105	начиная с	2	7
106	в свете	2	7
107	не в	10	7
108	главным образом	3	7
109	а с	4	7
110	по этому	6	7
111	животных и	5	7
112	было бы	15	7
113	до конца	2	7
114	для этого	3	7
115	из этих	5	7
116	и как	11	7
117	еще в	2	7
118	не можем	4	7
119	только в	16	7
120	связанные с	3	7
121	а не	7	7
122	в этой	7	6
123	и их	4	6
124	и у	7	6
125	друг друга	7	6
126	на этом	3	6
127	в их	12	6
128	только на	2	6
129	тому что	3	6
130	к тому	8	6
131	что этот	2	6
132	в нем	4	6
133	этому поводу	4	6
134	же как	10	6
135	с ними	3	6
136	все эти	9	6
137	связаны с	4	6
138	в качестве	25	6
139	чем в	4	6
140	в одном	4	6
141	что она	7	6
142	что здесь	2	6
143	в первый	2	6
144	должен был	2	6
145	также в	2	6
146	но они	4	6
147	и более	4	6
148	видели что	4	6
149	и другой	4	6
150	приводит к	5	6
151	в таком	4	6
152	вопрос о	2	5
153	и потому	2	5
154	в избе	2	5
155	в тех	2	5
156	но если	2	5
157	нас к	2	5
158	тогда когда	10	5
159	что он	13	5
160	нет никаких	6	5
161	вывод что	2	5
162	прежде всего	6	5
163	в свою	4	5
164	с этим	6	5
165	в то	5	5
166	в целом	22	5
167	для них	3	5
168	в связи	9	5
169	там где	4	5
170	например в	2	5
171	тот же	10	5
172	в его	22	5
173	то и	5	5
174	можно было	10	5
175	как правило	2	5
176	ничего общего	4	5
177	и для	4	5
178	с целью	2	5
179	рассматриваться как	4	5
180	с другой	11	5
181	входит в	7	5
182	и к	9	5
183	отнюдь не	6	5
184	или даже	2	5
185	с ним	4	5
186	связь между	7	5
187	мы уже	8	5
188	совпадают с	5	4
189	показывают что	6	4
190	которые в	5	4
191	означает что	2	4
192	если в	3	4
193	чтобы они	2	4
194	в глаза	2	4
195	иное как	2	4
196	не что	2	4
197	у них	3	4
198	и при	3	4
199	нас не	2	4
200	на две	2	4
201	связано с	2	4
202	таким же	4	4
203	здесь мы	4	4
204	в основном	6	4
205	или по	2	4
206	отличие от	8	4
207	не столько	4	4
208	могут быть	9	4
209	и тогда	2	4
210	не на	2	4
211	во всей	3	4
212	этого слова	13	4
213	и другим	2	4
214	во всяком	10	4
215	в основе	32	4
216	этого момента	2	4
217	и от	5	4
