N	3gram	Losev_Prob	Problemy
1	в то же	4	26
2	с точки зрения	3	25
3	в этом смысле	8	16
4	на самом деле	6	15
5	не может быть	5	14
6	в конце концов	11	11
7	до сих пор	6	10
8	с самого начала	2	9
9	в самом деле	4	9
10	во всяком случае	11	9
11	с другой стороны	7	9
12	в том что	7	8
13	бы то ни	2	7
14	как раз и	11	7
15	сама по себе	6	7
16	и в этом	5	7
17	и т д	12	7
18	по крайней мере	8	5
19	той или иной	5	5
20	сам по себе	7	5
21	подобно тому как	2	5
22	хотя бы и	3	5
23	можно было бы	4	5
24	тем не менее	25	4
25	более или менее	7	4
26	друг к другу	2	4
27	может быть и	5	4
28	о том что	16	4
29	так и в	2	4
30	сами по себе	5	4
31	в этом отношении	2	4
32	может быть даже	2	4
33	хотя и не	2	4
34	что может быть	3	4
35	что в нем	4	4
36	в то время	2	3
37	и в других	3	3
38	в данном случае	10	3
39	как мы уже	2	3
40	на то что	12	3
41	как мы увидим	2	3
42	не только не	4	3
43	и в самом	2	3
44	в настоящее время	17	3
45	то время как	2	3
46	но и не	2	3
47	никак не может	3	3
48	в этом случае	6	3
49	это вовсе не	2	3
50	а может быть	3	3
51	тем что он	2	3
52	можно сказать что	6	3
53	то же самое	9	2
54	по себе и	2	2
55	никогда не может	2	2
56	то что он	3	2
57	то что в	4	2
58	в себе все	2	2
59	только то что	6	2
60	что же касается	3	2
61	и только в	2	2
62	на этот раз	2	2
63	не только в	3	2
64	по своему смыслу	2	2
65	перед нами в	2	2
66	того или другого	2	2
67	по себе но	3	2
68	вместе с тем	2	2
69	дело в том	3	2
70	для того чтобы	9	2
71	как будто бы	4	2
72	прежде всего как	2	2
73	в этих случаях	3	2
