N	2gram	Voloshinov	VrazhdaK
1	не только	18	9
2	и что	2	8
3	в этом	27	8
4	и в	32	8
5	лишнего человека	2	8
6	что в	5	7
7	но и	17	7
8	и все	8	7
9	то что	12	7
10	но в	13	6
11	как и	19	6
12	– это	11	6
13	в котором	6	6
14	в начале	7	6
15	в нем	17	6
16	и с	4	6
17	все же	13	6
18	в романе	2	6
19	и даже	4	6
20	и не	42	5
21	не было	6	5
22	то же	19	5
23	в то	7	5
24	же время	7	5
25	у него	2	5
26	между тем	8	5
27	уже в	3	4
28	целый ряд	3	4
29	в своих	2	4
30	это не	5	4
31	в виду	2	4
32	все это	4	4
33	при этом	13	4
34	о том	4	4
35	в ней	5	4
36	как бы	31	4
37	так же	10	4
38	что он	5	4
39	в истории	5	4
40	может быть	50	4
41	человека в	3	3
42	в том	13	3
43	в чем	2	3
44	одним из	4	3
45	его в	7	3
46	далеко не	5	3
47	и во	2	3
48	в своем	3	3
49	том что	12	3
50	в его	10	3
51	в связи	12	3
52	и его	33	3
53	и как	8	3
54	он был	2	3
55	в русской	3	3
56	он не	5	3
57	связи с	22	3
58	к этому	10	3
59	на то	4	3
60	в конце	5	3
61	с его	6	3
62	тем что	3	3
63	никогда не	7	2
64	же не	2	2
65	и то	4	2
66	уже не	2	2
67	одна из	6	2
68	и т.п	17	2
69	место в	5	2
70	в эти	2	2
71	в той	6	2
72	для него	18	2
73	и это	6	2
74	на первый	2	2
75	с точки	31	2
76	как же	5	2
77	мы знаем	7	2
78	а в	5	2
79	в этой	3	2
80	столь же	2	2
81	в своей	5	2
82	как раз	5	2
83	но как	3	2
84	и он	4	2
85	в себе	5	2
86	еще не	7	2
87	точки зрения	48	2
88	же как	2	2
89	тем более	3	2
90	таким образом	29	2
91	и ее	4	2
92	во время	2	2
93	его и	3	2
94	отношения к	2	2
95	в свою	6	2
96	рядом с	7	2
97	не может	40	2
98	из них	3	2
99	ответ на	3	2
100	не менее	5	2
101	отнюдь не	14	2
102	на основе	4	2
103	этот момент	2	2
104	вместе с	2	2
