N	3gram	Berdyaev_M	Komedia
1	в том что	3	29
2	до сих пор	5	16
3	о том что	3	13
4	для того чтобы	4	11
5	в то время	2	11
6	по отношению к	4	9
7	то время как	2	9
8	вместе с тем	5	9
9	и в самом	3	8
10	в конце концов	3	7
11	после того как	2	6
12	что он не	3	5
13	там и здесь	6	4
14	что и в	3	4
15	по сравнению с	2	4
16	ни в чем	2	3
17	но и в	4	3
18	в высшей степени	4	3
19	в чем не	2	3
20	и там и	6	3
21	подобно тому как	2	2
22	потому что в	4	2
23	в нем не	2	2
24	не только в	2	2
25	ни у кого	2	2
26	в отношении к	3	2
27	так и не	2	2
28	как и в	2	2
29	как будто бы	2	2
