N	2gram	Tiupa_Narr	PoTuStor
1	может быть	24	17
2	и в	22	16
3	мы можем	2	9
4	в этом	23	9
5	и только	2	9
6	таким образом	5	9
7	прежде всего	7	9
8	и с	3	8
9	точки зрения	8	8
10	не может	16	8
11	и его	12	8
12	сказать что	5	7
13	не только	50	7
14	с его	6	7
15	с точки	2	6
16	самом деле	4	6
17	и к	7	6
18	для него	8	6
19	при этом	31	6
20	все эти	3	5
21	как бы	11	5
22	еще не	6	5
23	в чем	3	5
24	в него	2	5
25	отношение к	2	5
26	как мы	3	4
27	и на	5	4
28	в его	12	4
29	и ее	3	4
30	но и	39	4
31	и не	34	4
32	и все	7	4
33	но в	10	4
34	в этой	8	4
35	с ее	3	4
36	и наконец	2	4
37	все что	4	4
38	только в	23	4
39	в нем	9	4
40	а потому	2	4
41	хотя бы	4	4
42	с ними	5	4
43	можно сказать	11	4
44	так и	12	4
45	отнюдь не	6	4
46	и даже	4	4
47	едва ли	5	3
48	матери и	5	3
49	что в	6	3
50	и притом	3	3
51	жизни и	7	3
52	и как	4	3
53	и потому	2	3
54	а в	19	3
55	в том	20	3
56	их в	4	3
57	и вот	2	3
58	между ними	3	3
59	в области	4	3
60	до сих	3	3
61	только на	4	3
62	во время	2	3
63	на две	2	3
64	в этих	3	3
65	в конечном	6	3
66	как это	7	3
67	то что	14	3
68	во всех	2	3
69	мира и	2	3
70	сих пор	3	3
71	всяком случае	2	3
72	вместе с	3	3
73	в одном	5	3
74	к себе	11	3
75	во всяком	2	3
76	том что	15	3
77	один из	8	2
78	никогда не	8	2
79	для нас	2	2
80	что мы	2	2
81	по своему	3	2
82	с нею	2	2
83	не можем	2	2
84	в жизни	9	2
85	к ним	2	2
86	же как	2	2
87	и для	4	2
88	что не	2	2
89	что это	4	2
90	и по	3	2
91	а на	2	2
92	что и	3	2
93	не менее	6	2
94	не существует	3	2
95	во сне	4	2
96	было бы	2	2
97	сводится к	10	2
98	на друга	2	2
99	о том	5	2
100	можно назвать	2	2
101	то же	12	2
102	они не	3	2
103	как и	15	2
104	что он	7	2
105	так же	2	2
106	и лишь	2	2
107	того же	2	2
108	в своей	8	2
109	мы не	5	2
110	из этих	6	2
111	но как	3	2
112	в самом	8	2
113	моей жизни	3	2
114	в начале	4	2
115	с этой	3	2
116	по аналогии	2	2
117	в частности	23	2
118	сознания и	2	2
119	он не	8	2
120	у него	13	2
121	своей жизни	2	2
122	со всеми	3	2
123	при всей	5	2
124	и о	4	2
125	оно не	4	2
126	всех его	2	2
127	в душе	3	2
128	к этому	2	2
129	что на	4	2
130	конечном счете	4	2
131	и через	2	2
132	с помощью	2	2
133	не знает	2	2
134	в пределах	2	2
135	и т.п	11	2
136	друг на	2	2
137	не будет	2	2
138	с ним	6	2
139	на протяжении	12	2
140	между собой	3	2
141	но это	2	2
142	но зато	4	2
143	в итоге	4	2
