N	2gram	Voloshinov	Poddanst
1	не только	18	17
2	и в	32	14
3	и не	42	12
4	в области	3	11
5	в этом	27	10
6	в отношении	7	10
7	но в	13	9
8	то же	19	9
9	в том	13	9
10	в качестве	4	9
11	хотя бы	8	8
12	в пределах	7	8
13	в то	7	7
14	только в	14	7
15	же время	7	7
16	но и	17	6
17	было бы	8	6
18	в смысле	11	6
19	в ней	5	6
20	xix века	4	6
21	с другой	6	5
22	не в	13	5
23	отношении к	8	5
24	и пр	31	5
25	может быть	50	5
26	по себе	5	4
27	что в	5	4
28	если бы	12	4
29	и потому	7	4
30	в своем	3	4
31	том что	12	4
32	мы должны	4	4
33	в котором	6	4
34	в русской	3	4
35	и к	3	4
36	как бы	31	4
37	и если	2	4
38	то что	12	4
39	не может	40	4
40	а в	5	4
41	и как	8	3
42	но не	2	3
43	это не	5	3
44	с точки	31	3
45	сводится к	5	3
46	столь же	2	3
47	мы не	6	3
48	для того	8	3
49	в себе	5	3
50	точки зрения	48	3
51	потому что	2	3
52	одной стороны	2	3
53	в нем	17	3
54	между тем	8	3
55	могут быть	4	3
56	прежде всего	19	3
57	тот же	4	3
58	с одной	2	3
59	с ними	5	3
60	должно быть	4	2
61	переход от	4	2
62	является в	5	2
63	в жизни	2	2
64	одна из	6	2
65	отношения к	2	2
66	для них	2	2
67	не к	3	2
68	стороны и	2	2
69	и это	6	2
70	слова но	3	2
71	и тем	4	2
72	и других	3	2
73	в его	10	2
74	с этим	6	2
75	и вот	2	2
76	не менее	5	2
77	говорить о	2	2
78	со стороны	2	2
79	именно в	6	2
80	в начале	7	2
81	тем более	3	2
82	все это	4	2
83	но к	2	2
84	в частности	2	2
85	том числе	3	2
86	как на	2	2
87	друг другу	2	2
88	а не	15	2
89	во всей	2	2
90	не было	6	2
91	и есть	3	2
92	например в	2	2
93	из важнейших	4	2
94	и с	4	2
95	не будем	4	2
96	во всех	13	2
97	в ее	9	2
98	в тот	2	2
99	как раз	5	2
100	в значительной	3	2
101	того что	5	2
102	главным образом	2	2
103	из них	3	2
104	не столько	5	2
105	отнюдь не	14	2
