N	3gram	Tiupa_Disk	Istorich
1	с другой стороны	4	46
2	в этом случае	3	29
3	с одной стороны	12	28
4	в том что	18	25
5	не может быть	5	24
6	о том что	8	22
7	не только в	2	19
8	в данном случае	6	15
9	по отношению к	13	14
10	как и в	3	10
11	более или менее	2	9
12	то же самое	2	8
13	подобно тому как	4	8
14	и то что	2	8
15	во всяком случае	2	7
16	в большинстве случаев	2	7
17	с самого начала	2	6
18	к тому же	4	6
19	так и в	4	5
20	в том числе	3	5
21	в отличие от	12	5
22	том что в	3	5
23	в том чтобы	2	5
24	содержит в себе	3	4
25	состоит в том	3	4
26	и в особенности	2	4
27	можно сказать что	3	4
28	это еще не	2	4
29	с точки зрения	3	4
30	и может быть	3	4
31	сами по себе	2	4
32	по себе не	2	4
33	в одной из	2	4
34	тем что он	2	4
35	только то что	2	4
36	и то же	2	3
37	дело в том	3	3
38	и не только	2	3
39	как будто бы	2	3
40	на передний план	2	3
41	в соответствии с	4	3
42	одной стороны и	3	3
43	в античной греции	2	3
44	не в том	3	3
45	а не только	2	2
46	большей или меньшей	2	2
47	а не в	2	2
48	как в сказании	3	2
49	а потом и	2	2
50	в качестве примера	2	2
51	и не может	3	2
52	и прежде всего	2	2
53	между мифом и	2	2
54	что в них	2	2
55	тогда как в	5	2
56	только в том	2	2
57	то что и	2	2
58	далеко еще не	3	2
59	одно и то	2	2
60	в частности в	2	2
61	при всей своей	2	2
62	том числе и	3	2
63	в свою очередь	3	2
64	мы имеем дело	3	2
65	а в том	2	2
