N	3gram	Bakhtin_Fr	Myshleni
1	в том что	4	133
2	с точки зрения	4	89
3	по отношению к	3	42
4	с одной стороны	3	39
5	в этом отношении	3	30
6	можно было бы	2	28
7	с другой стороны	2	26
8	о том что	4	25
9	в самом деле	3	19
10	до сих пор	3	17
11	как мы видели	4	17
12	в связи с	2	17
13	мы уже говорили	12	14
14	в свою очередь	3	14
15	в другом месте	3	13
16	на первый план	2	12
17	как мы уже	4	11
18	те и другие	2	11
19	в том числе	4	10
20	вместо того чтобы	2	10
21	то что в	2	10
22	том числе и	2	10
23	более или менее	3	9
24	как и в	2	9
25	сам по себе	2	8
26	с таким же	2	8
27	и в отношении	2	8
28	о том как	3	7
29	мы находим в	2	6
30	в конце концов	5	5
31	в свое время	2	5
32	в то же	12	5
33	прежде всего в	4	5
34	в той же	5	5
35	как мы увидим	2	5
36	после того как	6	4
37	но и в	2	4
38	таким образом в	2	4
39	так и в	3	4
40	таким образом и	2	4
41	в значительной степени	3	4
42	мы видим что	2	4
43	того как он	2	3
44	уже говорили что	3	3
45	имеем в виду	2	3
46	мы имеем в	2	3
47	а следовательно и	2	3
48	то же время	12	3
49	дело в том	2	3
50	о котором мы	4	2
51	новые и новые	2	2
52	в следующей главе	6	2
53	и благодаря этому	2	2
54	что все это	2	2
55	же что и	2	2
56	и в его	2	2
57	в одном из	2	2
58	и т.п но	2	2
59	но все это	2	2
60	что у него	2	2
61	хотя и в	2	2
62	в большинстве случаев	9	2
63	за то что	4	2
64	в чем же	2	2
65	и до конца	4	2
66	таким образом все	2	2
67	и по отношению	2	2
68	мы уже видели	2	2
