N	2gram	Voloshinov	VrazhdaK
1	не только	4	9
2	и что	2	8
3	в этом	4	8
4	и в	12	8
5	что в	2	7
6	но и	3	7
7	и все	2	7
8	то что	5	7
9	но в	5	6
10	как и	5	6
11	в котором	3	6
12	в нем	6	6
13	и с	3	6
14	все же	4	6
15	и не	10	5
16	то же	5	5
17	в то	2	5
18	между тем	3	5
19	для нас	7	4
20	уже в	2	4
21	это не	2	4
22	в виду	5	4
23	все это	3	4
24	при этом	6	4
25	о том	3	4
26	в ней	6	4
27	как бы	13	4
28	так же	3	4
29	с ним	3	4
30	может быть	14	4
31	в том	6	3
32	в чем	2	3
33	его в	4	3
34	и уже	3	3
35	в своем	2	3
36	том что	5	3
37	в его	2	3
38	и его	13	3
39	он не	2	3
40	к этому	2	3
41	с его	2	3
42	никогда не	5	2
43	и то	2	2
44	в них	3	2
45	уже не	4	2
46	к ним	2	2
47	место в	2	2
48	для него	3	2
49	с точки	2	2
50	как же	2	2
51	к автору	4	2
52	в своей	3	2
53	в себе	3	2
54	еще не	3	2
55	точки зрения	14	2
56	таким образом	12	2
57	и ее	3	2
58	в момент	2	2
59	на это	2	2
60	не может	16	2
61	не менее	3	2
62	но это	2	2
63	отнюдь не	5	2
64	вместе с	2	2
65	отношение к	4	2
