N	2gram	Tiupa_Lite	slovoVRo
1	и в	26	92
2	и т	2	82
3	т п	2	72
4	то есть	11	64
5	в нем	4	59
6	может быть	24	59
7	и его	7	59
8	и не	19	51
9	не только	29	44
10	не может	10	41
11	но и	25	39
12	до конца	3	37
13	в этом	19	36
14	а не	28	34
15	во всех	4	32
16	так и	7	30
17	точки зрения	8	30
18	могут быть	4	29
19	и др	4	29
20	в пределах	4	29
21	в его	9	27
22	слова в	2	26
23	слова и	6	24
24	как бы	8	24
25	то же	13	23
26	и на	5	22
27	не в	11	21
28	в сущности	5	21
29	как в	5	21
30	вовсе не	3	21
31	в то	12	20
32	прежде всего	14	19
33	как мы	2	19
34	или иной	3	18
35	как и	13	18
36	себя в	7	18
37	же время	12	18
38	с ним	2	18
39	все же	6	17
40	все эти	2	17
41	в основе	5	17
42	и даже	9	17
43	таким образом	4	17
44	к своему	2	16
45	отличие от	6	16
46	при этом	23	16
47	но в	5	16
48	и с	4	15
49	со своим	2	15
50	с точки	4	15
51	в отличие	6	14
52	только в	8	14
53	это не	4	13
54	с его	5	13
55	в особенности	2	13
56	отношении к	2	13
57	с другой	11	13
58	на фоне	5	13
59	в слове	3	13
60	никогда не	5	12
61	в отношении	2	12
62	а в	5	12
63	во всяком	3	12
64	и наконец	2	12
65	еще не	4	12
66	один из	7	11
67	одной стороны	8	11
68	в этих	2	11
69	с одной	9	11
70	для него	6	11
71	все они	2	10
72	в своем	12	10
73	в том	22	10
74	в себе	8	10
75	лишь в	4	10
76	далеко не	4	10
77	уже не	9	10
78	его в	4	9
79	одним из	8	9
80	и других	4	9
81	в их	3	9
82	в своей	5	9
83	этом случае	2	9
84	одна из	8	9
85	так как	2	9
86	с ее	3	9
87	героя и	2	9
88	но не	8	9
89	на почве	2	9
90	он не	4	9
91	человека и	2	8
92	для понимания	2	8
93	в ней	4	8
94	не на	2	8
95	человека в	5	8
96	в самом	4	8
97	для нас	3	8
98	всяком случае	2	8
99	том что	19	7
100	от него	2	7
101	друг друга	5	7
102	по преимуществу	6	7
103	того же	5	7
104	ту же	4	7
105	в целом	10	7
106	связи с	7	7
107	например в	3	7
108	у него	5	7
109	мышления и	3	7
110	и иных	2	7
111	за пределы	3	7
112	также и	3	7
113	жизни и	6	7
114	не было	5	7
115	же и	3	7
116	даже в	6	6
117	ничего не	3	6
118	наконец в	2	6
119	как к	4	6
120	роль в	2	6
121	на этом	3	6
122	а также	5	6
123	xix века	6	6
124	что в	7	6
125	в качестве	21	6
126	другой стороны	5	6
127	хотя бы	3	6
128	человек в	2	6
129	в свою	2	6
130	себя и	3	6
131	в одном	2	6
132	между тем	2	6
133	в каждом	2	5
134	не как	4	5
135	а как	2	5
136	героя в	2	5
137	только на	3	5
138	не знает	3	5
139	не менее	11	5
140	в поэзии	4	5
141	отношению к	4	5
142	а затем	3	5
143	мы не	5	5
144	должен быть	2	5
145	для этого	5	5
146	в данном	7	5
147	по отношению	6	5
148	с их	3	5
149	в результате	2	5
150	этом отношении	5	5
151	не является	3	5
152	для того	2	5
153	должна быть	3	5
154	не с	2	5
155	о том	3	5
156	той же	5	5
157	в чужом	4	5
158	уже в	7	5
159	и сам	6	5
160	в противовес	2	5
161	вместе с	5	5
162	от автора	2	4
163	для всех	5	4
164	но как	3	4
165	в другом	3	4
166	что и	3	4
167	в виду	4	4
168	что он	8	4
169	том же	3	4
170	однако в	7	4
171	здесь как	2	4
172	свою очередь	2	4
173	в частности	18	4
174	от других	2	4
175	того что	7	4
176	даже и	2	4
177	так в	6	4
178	в чем	2	4
179	не столько	8	4
180	поэзии и	3	4
181	всех своих	3	4
182	же как	3	4
183	как сказано	2	4
184	одной из	2	4
185	но это	2	4
186	дело не	2	4
187	и как	2	4
188	с этой	6	4
189	со всеми	2	4
190	к тому	3	4
191	эти слова	2	4
192	в литературе	2	4
193	которая не	2	4
194	при всем	4	4
195	и чужого	2	4
196	о себе	7	4
197	из них	5	4
198	из этого	2	4
199	с образом	2	4
200	в себя	5	4
201	по существу	4	4
202	как раз	6	4
203	данном случае	6	3
204	нуждается в	3	3
205	с идеей	2	3
206	себе как	2	3
207	индивидуального сознания	2	3
208	такого рода	18	3
209	xviii века	2	3
210	как это	9	3
211	от всякой	2	3
212	на том	3	3
213	от языка	2	3
214	было бы	4	3
215	и то	3	3
216	произведения как	2	3
217	к этому	2	3
218	в сознании	3	3
219	из этих	2	3
220	однако и	2	3
221	дело в	3	3
222	легко и	2	3
223	но лишь	4	3
224	xx века	2	3
225	но уже	2	3
226	или иных	2	3
227	во второй	2	3
228	тем что	6	3
229	в связи	4	3
230	сознания в	14	3
231	жизни в	5	3
232	такой же	3	3
233	не могло	3	3
234	тех или	2	3
235	не есть	2	3
236	мир и	2	3
237	в этой	7	3
238	потому что	5	3
239	все что	3	3
240	и тем	4	3
241	и нет	4	3
242	в художественной	4	2
243	могло быть	2	2
244	этого рода	2	2
245	к себе	3	2
246	по своей	3	2
247	на один	2	2
248	например и	2	2
249	и есть	3	2
250	есть не	2	2
251	как он	2	2
252	не остается	2	2
253	это как	3	2
254	так что	4	2
255	и за	2	2
256	но по	2	2
257	как уже	3	2
258	своего времени	2	2
259	а с	2	2
260	то что	14	2
261	х годов	5	2
262	в руках	2	2
263	одного из	4	2
264	друг для	2	2
265	особый мир	3	2
266	этого не	2	2
267	и само	3	2
268	которая в	3	2
269	этой точки	3	2
270	и т.п	14	2
271	себя как	2	2
272	что не	3	2
273	для них	2	2
274	могут служить	2	2
275	до последнего	2	2
276	да и	3	2
277	особого рода	3	2
278	все то	2	2
279	нашего времени	2	2
280	вокруг себя	2	2
281	то в	3	2
282	то и	5	2
283	и что	2	2
284	в равной	4	2
285	можно было	3	2
286	из своих	2	2
287	та же	2	2
288	же в	6	2
289	перестает быть	5	2
290	автора в	2	2
291	в области	5	2
292	при всех	2	2
293	мира в	4	2
294	если оно	2	2
295	ни было	2	2
296	в жизни	7	2
297	тем не	4	2
298	у нас	5	2
299	речь в	2	2
300	в какой	2	2
301	над языком	2	2
302	не можем	2	2
303	культуры и	2	2
304	на то	2	2
305	от всех	2	2
306	что для	2	2
307	века в	3	2
308	столь же	5	2
309	из его	2	2
310	в своих	5	2
311	не исключают	2	2
312	или иначе	9	2
313	в сфере	7	2
314	сознания для	2	2
315	приводит к	4	2
316	в начале	4	2
317	и одновременно	2	2
318	несмотря на	3	2
319	не для	2	2
320	не просто	2	2
321	на роль	2	2
322	и жизни	4	2
323	для друга	2	2
324	и только	4	2
325	нового времени	2	2
326	не к	3	2
327	в нашем	2	2
328	к своей	2	2
329	однако не	2	2
