N	2gram	Potebnia_M	OGranits
1	и в	58	13
2	и его	7	12
3	прежде всего	8	9
4	и не	34	8
5	не может	30	8
6	может быть	47	8
7	в его	7	7
8	и их	6	7
9	точки зрения	8	7
10	не только	32	6
11	мы должны	4	6
12	как бы	12	6
13	таким образом	21	6
14	только в	36	6
15	то что	24	6
16	языка и	20	5
17	все же	11	5
18	с точки	4	5
19	хотя бы	4	5
20	мы можем	10	4
21	но в	12	4
22	лишь в	2	4
23	то же	13	4
24	в сознании	8	4
25	но мы	3	4
26	тех пор	2	4
27	в своей	3	4
28	все это	3	4
29	было бы	21	4
30	вопроса о	2	4
31	мы не	17	4
32	в каждом	6	4
33	слов и	5	4
34	никогда не	7	3
35	языка как	6	3
36	и для	8	3
37	слово в	2	3
38	общего с	3	3
39	и то	4	3
40	и все	6	3
41	в ее	2	3
42	превращается в	2	3
43	вряд ли	2	3
44	с этим	11	3
45	отношению к	13	3
46	и уже	6	3
47	как и	16	3
48	не в	23	3
49	в их	3	3
50	ничего общего	3	3
51	так как	29	3
52	в себе	22	3
53	что в	34	3
54	по отношению	15	3
55	самом деле	2	3
56	за пределы	4	3
57	так и	17	3
58	что же	3	3
59	в которой	5	3
60	не как	4	3
61	к одному	3	3
62	в одном	13	3
63	тела и	2	3
64	но и	26	3
65	не столько	3	3
66	в самом	5	2
67	могут быть	17	2
68	мы видим	5	2
69	собственно говоря	2	2
70	в этом	18	2
71	в них	7	2
72	для себя	4	2
73	и должно	2	2
74	уже в	5	2
75	языка но	3	2
76	отношений между	5	2
77	в том	38	2
78	тем что	15	2
79	есть не	7	2
80	несмотря на	5	2
81	в целом	3	2
82	если бы	23	2
83	не исчерпывается	2	2
84	от этого	2	2
85	думать что	6	2
86	о языке	3	2
87	с одной	7	2
88	не имеет	9	2
89	явлений и	3	2
90	в действительности	6	2
91	с другой	13	2
92	там где	8	2
93	слова и	7	2
94	человеческой речи	6	2
95	а в	11	2
96	которое может	2	2
97	и тем	5	2
98	том что	21	2
99	а как	3	2
100	в г	2	2
101	в языке	36	2
102	в связи	2	2
103	не менее	10	2
104	и следовательно	4	2
105	с ними	2	2
106	все эти	3	2
107	связанные с	3	2
108	так же	7	2
109	от своего	2	2
110	что они	6	2
111	те же	4	2
112	нуждается в	2	2
113	и при	6	2
114	с этой	3	2
115	и может	5	2
116	в своих	4	2
117	его на	3	2
118	в полном	2	2
119	в нем	26	2
120	не на	3	2
121	при этом	17	2
122	сознания и	2	2
123	истории языка	2	2
124	нет ничего	2	2
125	что иное	2	2
126	а не	38	2
127	между собою	10	2
128	в ней	9	2
129	вслед за	2	2
130	на две	2	2
131	в течение	2	2
132	как в	18	2
133	другой стороны	7	2
134	во всем	5	2
135	но такое	2	2
136	который мы	2	2
137	мог бы	5	2
138	одной стороны	6	2
139	бы в	6	2
140	между тем	7	2
141	в чем	6	2
142	которое мы	5	2
143	на язык	7	2
144	имеет место	4	2
145	тот же	5	2
146	иное как	2	2
147	не что	2	2
148	в другом	3	2
149	самого начала	5	2
150	вовсе не	13	2
151	с самого	5	2
152	к тому	5	2
153	не мог	3	2
154	для него	13	2
155	может стать	3	2
