N	2gram	Medvedev_S	Literetu
1	не только	3	46
2	и в	3	44
3	может быть	2	43
4	но и	2	41
5	в том	5	39
6	в этом	5	38
7	том что	2	32
8	в частности	2	30
9	то что	2	29
10	то же	2	26
11	не в	3	22
12	как бы	2	18
13	в его	3	17
14	только в	2	15
15	по отношению	2	14
16	еще не	2	12
17	отношению к	2	12
18	что в	2	10
19	в конце	2	8
20	по существу	2	8
21	было бы	2	6
22	далеко не	2	6
23	и только	3	6
24	как будто	2	6
25	очевидно что	2	4
26	для нас	3	4
27	за пределы	2	4
28	более чем	3	4
29	и что	2	4
30	таким образом	2	4
31	исторической жизни	2	3
32	должна быть	2	3
33	ведь это	2	2
34	это и	2	2
35	нужно было	2	2
36	одно дело	2	2
37	дело не	2	2
38	только как	2	2
39	и мы	2	2
40	в результате	2	2
41	тем более	2	2
42	о литературе	3	2
43	в литературоведении	2	2
