N	2gram	Losev_Dial	Morfolog
1	и т	41	62
2	может быть	30	61
3	т д	38	60
4	и пр	16	45
5	таким образом	14	26
6	т е	72	25
7	могут быть	5	21
8	так как	12	20
9	мы имеем	3	19
10	не может	29	19
11	в этом	14	18
12	в этих	3	17
13	и в	34	17
14	и не	50	16
15	мы видим	4	15
16	перед нами	5	14
17	с этим	4	14
18	прежде всего	20	14
19	по существу	2	13
20	при помощи	6	12
21	связи с	3	12
22	видим что	3	12
23	чаще всего	3	11
24	а не	39	11
25	заметить что	2	11
26	вопрос о	9	10
27	но если	11	10
28	то же	9	10
29	в том	17	10
30	не всегда	3	10
31	то что	25	10
32	так и	11	10
33	что в	12	10
34	что и	8	10
35	в связи	3	10
36	все же	4	9
37	но и	14	9
38	с другой	5	9
39	не только	35	8
40	в результате	7	8
41	но не	3	8
42	а в	3	8
43	мы не	11	8
44	как мы	4	8
45	не могут	6	7
46	том что	18	7
47	тем не	10	7
48	или же	3	7
49	не менее	11	7
50	как это	8	7
51	и здесь	3	7
52	и этим	3	7
53	точки зрения	43	7
54	потому что	21	7
55	это не	13	6
56	но это	10	6
57	во всех	2	6
58	и как	13	6
59	или в	4	6
60	также и	6	6
61	подобно тому	5	6
62	о том	11	6
63	если мы	5	6
64	с точки	25	6
65	как бы	19	6
66	вовсе не	18	6
67	одна из	4	5
68	ничего не	29	5
69	и ее	8	5
70	хотя бы	9	5
71	мы можем	3	5
72	было бы	13	5
73	об этом	8	5
74	то мы	3	5
75	со стороны	5	5
76	что он	18	5
77	как в	2	5
78	то это	9	5
79	тому что	5	5
80	прежде чем	2	5
81	к тому	4	5
82	из которых	4	5
83	другой стороны	4	5
84	тому как	5	5
85	сюда же	2	5
86	все эти	4	5
87	что они	2	5
88	он не	8	5
89	в первом	2	5
90	если же	8	5
91	хотя и	9	5
92	учение о	11	5
93	этот момент	2	5
94	ясно что	16	5
95	сказать что	7	4
96	на самом	2	4
97	его в	2	4
98	тех же	2	4
99	независимо от	3	4
100	так же	7	4
101	в то	9	4
102	значит что	29	4
103	к этому	3	4
104	как таковые	2	4
105	есть и	14	4
106	тем что	5	4
107	еще не	7	4
108	самом деле	7	4
109	из них	4	4
110	но в	3	4
111	на котором	2	4
112	что его	5	4
113	и для	5	4
114	как и	14	4
115	а если	5	4
116	уже не	9	4
117	и к	5	4
118	на этом	3	4
119	несмотря на	2	4
120	говорить о	13	4
121	в некоторых	3	4
122	никто не	4	4
123	случае не	4	4
124	от того	9	4
125	мы уже	6	4
126	или не	10	3
127	как же	9	3
128	то в	5	3
129	время как	6	3
130	утверждать что	6	3
131	но как	3	3
132	здесь не	2	3
133	как таковое	5	3
134	пр и	2	3
135	в собственном	3	3
136	то ни	4	3
137	это было	5	3
138	даже не	8	3
139	всего это	2	3
140	что это	20	3
141	от другого	2	3
142	требует чтобы	2	3
143	и у	3	3
144	целый ряд	3	3
145	друг друга	3	3
146	только что	7	3
147	если бы	10	3
148	в виде	11	3
