N	3gram	Medvedev_V	Problema
1	о том что	3	39
2	в том что	5	37
3	и т д	16	33
4	в связи с	4	29
5	по крайней мере	2	26
6	во всяком случае	2	25
7	с другой стороны	8	25
8	в конце концов	2	23
9	для того чтобы	3	17
10	в то же	5	17
11	до сих пор	2	14
12	можно было бы	2	13
13	не может быть	8	12
14	можно сказать что	4	12
15	с одной стороны	2	11
16	более или менее	6	10
17	не только не	2	10
18	вместе с тем	4	10
19	только то что	2	10
20	не только в	2	10
21	по этому поводу	7	9
22	только в том	2	8
23	иметь в виду	2	7
24	это и есть	3	7
25	в значительной мере	3	7
26	в этой области	3	7
27	о том как	3	7
28	в этом отношении	14	6
29	уже по одному	2	5
30	хотя бы и	5	5
31	та или иная	3	5
32	в зависимости от	5	5
33	в том числе	2	5
34	во всех этих	2	4
35	этой точки зрения	2	4
36	не было бы	4	4
37	также и в	2	4
38	подобно тому как	3	4
39	том числе и	2	4
40	в том чтобы	2	4
41	равно как и	4	4
42	от того что	2	3
43	после того как	2	3
44	к тому что	4	3
45	в результате чего	2	3
46	и в то	3	3
47	хотя бы в	3	3
48	одному тому что	2	3
49	точном смысле слова	2	3
50	вот что пишет	2	3
51	в чем же	2	3
52	бы не было	2	3
53	и никогда не	2	3
54	одной стороны и	2	3
55	по одному тому	2	3
56	говорить не о	2	2
57	по отношению к	7	2
58	из них не	2	2
59	ни один из	2	2
60	и не может	2	2
61	не могут не	2	2
62	что все эти	2	2
63	таким образом в	2	2
64	в частности в	2	2
65	и т п	9	2
66	не может не	2	2
67	а значит и	3	2
68	не только для	2	2
