N	2gram	Losev_Prob	Tvorches
1	у достоевского	4	91
2	и в	48	56
3	как бы	10	41
4	в его	19	37
5	в романе	2	34
6	в романах	2	30
7	в то	6	30
8	то же	6	25
9	не только	28	24
10	но в	17	24
11	в году	9	24
12	то есть	38	23
13	и его	11	23
14	и не	29	23
15	а в	8	23
16	как и	10	23
17	и т	2	22
18	в этом	31	22
19	в том	25	21
20	что в	12	21
21	том что	29	19
22	он не	4	19
23	может быть	11	19
24	потому что	21	19
25	у него	13	18
26	то что	26	18
27	что он	12	17
28	все это	8	17
29	и на	9	17
30	таким образом	20	17
31	никогда не	7	16
32	прежде всего	15	16
33	как в	3	16
34	при этом	6	16
35	не может	6	16
36	но и	21	16
37	в этой	14	15
38	с его	3	15
39	но это	7	15
40	и с	10	15
41	это не	8	14
42	и даже	24	14
43	там же	2	13
44	о том	17	13
45	а не	7	13
46	тем самым	2	12
47	в котором	5	12
48	преступления и	2	11
49	все же	12	11
50	в своей	29	11
51	для него	2	11
52	отнюдь не	14	11
53	в конце	10	10
54	не в	16	10
55	так и	15	10
56	уже в	4	10
57	в русской	4	10
58	представление о	2	10
59	но не	12	10
60	в самом	7	10
61	когда он	3	10
62	он сам	3	10
63	только в	21	10
64	как будто	9	10
65	в свою	4	9
66	в нем	8	9
67	один из	2	9
68	и от	7	9
69	по мнению	3	9
70	человека в	3	9
71	жизни в	7	9
72	наряду с	2	9
73	в своих	3	9
74	даже в	2	8
75	так же	7	8
76	в себе	7	8
77	человека и	4	8
78	в духе	4	8
79	в их	4	8
80	одной из	5	8
81	не менее	8	8
82	это уже	4	8
83	на его	4	8
84	так как	10	8
85	вовсе не	18	8
86	к этому	2	8
87	об этом	11	8
88	еще не	4	8
89	именно в	11	8
90	хотя и	10	8
91	вместе с	15	8
92	он видит	3	7
93	самом деле	3	7
94	в чем	3	7
95	в дальнейшем	7	7
96	и он	5	7
97	что она	2	7
98	в которой	7	7
99	в этих	3	7
100	в рассказе	2	7
101	русской литературе	3	7
102	уже не	12	7
103	и сам	5	7
104	его в	9	6
105	ли не	2	6
106	так что	18	6
107	и все	12	6
108	на эту	2	6
109	все эти	12	6
110	о великом	2	6
111	и ее	2	6
112	если он	4	6
113	хотя бы	11	6
114	и как	10	6
115	если бы	2	6
116	еще более	4	6
117	с ним	4	6
118	бы не	4	5
119	ничего не	3	5
120	в идиоте	2	5
121	из всех	2	5
122	до конца	4	5
123	в одной	2	5
124	приходит к	2	5
125	по отношению	2	5
126	и у	8	5
127	но эта	2	5
128	том же	2	5
129	как он	2	5
130	в виде	25	5
131	это все	2	5
132	в образе	2	5
133	в своем	16	5
134	а с	4	5
135	не так	4	5
136	в них	5	5
137	и это	3	5
138	что этот	6	5
139	значит что	3	5
140	что не	3	5
141	что и	8	5
142	в ее	6	5
143	мы не	7	5
144	и по	2	5
145	что они	4	5
146	тот же	6	5
147	что это	4	5
148	все время	5	5
149	в россии	2	5
150	с этим	3	5
151	в первой	2	5
152	на него	3	5
153	между тем	2	5
154	и другие	4	5
155	в петербурге	2	5
156	отношению к	2	5
157	в литературе	5	5
158	что у	6	5
159	с другой	8	5
160	если не	6	5
161	из них	4	5
162	я не	3	5
163	не было	4	5
164	в таком	4	5
165	перед нами	14	4
166	при помощи	12	4
167	и потому	4	4
168	добра и	2	4
169	крайней мере	8	4
170	это и	4	4
171	только на	2	4
172	в частности	5	4
173	как это	5	4
174	в такой	3	4
175	самого начала	3	4
176	того что	8	4
177	к нему	3	4
178	но только	5	4
179	он говорит	2	4
180	точки зрения	17	4
181	могут быть	2	4
182	сих пор	3	4
183	однако в	4	4
184	же не	4	4
185	на землю	7	4
186	который в	10	4
187	говорит о	9	4
188	тут же	7	4
189	но эти	2	4
190	нет ничего	3	4
191	по преимуществу	2	4
192	дело в	4	4
193	в каждом	2	4
194	это значит	3	4
195	тем что	2	4
196	на земле	11	4
197	и наконец	4	4
198	и есть	4	4
199	с этой	4	4
200	что его	4	4
201	по крайней	8	4
202	с самого	3	4
203	и более	3	4
204	не мог	5	4
205	далеко не	6	4
206	не вполне	2	4
207	еще в	6	4
208	этой книги	2	4
209	с точки	13	4
210	это был	3	4
211	и тут	4	4
212	но он	5	4
213	до сих	3	4
