N	2gram	Voloshinov	Narrotol
1	не только	18	62
2	и не	42	50
3	при этом	13	47
4	но и	17	45
5	а не	15	38
6	в качестве	4	35
7	в частности	2	31
8	может быть	50	30
9	и в	32	30
10	в том	13	29
11	том что	12	28
12	в этом	27	28
13	а в	5	27
14	только в	14	25
15	в данном	8	24
16	как и	19	24
17	не в	13	23
18	то что	12	23
19	то есть	2	22
20	не может	40	20
21	в себе	5	17
22	так и	21	17
23	со стороны	2	16
24	в его	10	16
25	но в	13	15
26	можно сказать	4	15
27	к тому	8	15
28	и т.п	17	15
29	в жизни	2	14
30	и его	33	14
31	в своем	3	13
32	в своей	5	13
33	то же	19	13
34	у него	2	13
35	о том	4	13
36	уже не	2	13
37	все же	13	12
38	прежде всего	19	12
39	как в	5	12
40	на протяжении	2	12
41	как бы	31	12
42	сводится к	5	12
43	по отношению	10	11
44	и тем	4	11
45	отличие от	7	11
46	в нем	17	11
47	в этой	3	11
48	если бы	12	11
49	жизни в	5	11
50	отношению к	9	11
51	в отличие	7	11
52	никогда не	7	10
53	в то	7	10
54	и т.д	6	10
55	ничего не	9	10
56	как это	2	10
57	точки зрения	48	10
58	того что	5	10
59	не является	11	10
60	и все	8	10
61	но не	2	10
62	жизни и	4	10
63	тому же	2	10
64	между тем	8	10
65	с его	6	10
66	еще не	7	9
67	что он	5	9
68	что в	5	9
69	отнюдь не	14	9
70	тем не	3	9
71	той или	5	9
72	для него	18	9
73	далеко не	5	9
74	столь же	2	9
75	потому что	2	9
76	как раз	5	9
77	или иной	8	8
78	самом деле	18	8
79	но при	3	8
80	не менее	5	8
81	того чтобы	9	8
82	одна из	6	8
83	и он	4	8
84	этом отношении	4	8
85	у нас	4	8
86	в литературе	2	8
87	и для	15	8
88	в самом	14	8
89	и к	3	8
90	в той	6	8
91	же время	7	8
92	в таком	8	8
93	он не	5	8
94	в свою	6	7
95	это не	5	7
96	в конце	5	7
97	в чем	2	7
98	в ней	5	7
99	одного из	3	7
100	в целом	2	7
101	в ее	9	7
102	имеет место	2	7
103	с другой	6	7
104	в котором	6	7
105	и на	8	7
106	или в	4	7
107	в форме	3	7
108	одной стороны	2	6
109	в сознании	2	6
110	они не	2	6
111	во втором	2	6
112	ответ на	3	6
113	не могла	2	6
