N	3gram	Losev_Prob	VeschiIm
1	и т д	12	38
2	это значит что	3	25
3	не может быть	5	24
4	не что иное	5	12
5	не есть ни	8	12
6	бы то ни	2	12
7	что иное как	5	12
8	содержит в себе	7	11
9	тем не менее	25	11
10	т д и	4	11
11	по крайней мере	8	10
12	д и т	3	10
13	в том что	7	9
14	есть не что	5	8
15	в самом деле	4	7
16	на то что	12	7
17	сама по себе	6	7
18	то и другое	3	6
19	ни в каком	7	6
20	вовсе не есть	12	6
21	с точки зрения	3	6
22	может быть только	2	6
23	так или иначе	7	6
24	в то же	4	5
25	подобно тому как	2	5
26	не есть просто	2	5
27	не только в	3	5
28	не потому что	2	5
29	сущность и явление	3	5
30	не есть только	5	5
31	и тем не	8	5
32	и то что	9	5
33	не только не	4	4
34	более или менее	7	4
35	то время как	2	4
36	сам по себе	7	4
37	о том как	2	4
38	что же такое	5	4
39	о том что	16	4
40	тех или других	3	4
41	в то время	2	4
42	дело в том	3	4
43	есть прежде всего	3	4
44	в каком случае	6	4
45	что не есть	2	4
46	те или другие	2	4
47	а тем не	2	3
48	можно ли сказать	3	3
49	и не просто	7	3
50	можно сказать что	6	3
51	то что мы	11	3
52	мы говорим что	2	3
53	ли сказать что	3	3
54	той или другой	5	3
55	можно было бы	4	3
56	вместе с тем	2	3
57	заключается в том	2	3
58	с одной стороны	4	3
59	только то что	6	3
60	свидетельствует о том	3	3
61	с другой стороны	7	3
62	что она есть	2	3
63	указывает на то	3	3
64	сами по себе	5	3
65	то это значит	2	3
66	ни от чего	2	3
67	мы еще не	3	2
68	можно говорить о	2	2
69	как раз и	11	2
70	а есть только	2	2
71	во всяком случае	11	2
72	что же касается	3	2
73	для того чтобы	9	2
74	в этом отношении	2	2
75	хотя бы и	3	2
76	вещи есть ее	19	2
77	никуда не годится	2	2
78	отнюдь не есть	2	2
79	то что он	3	2
80	ничего не значит	2	2
81	или по крайней	4	2
82	тем или другим	4	2
83	в связи с	7	2
84	хотя бы даже	2	2
85	не может считаться	2	2
86	ни о каком	2	2
87	в конце концов	11	2
88	так же как	2	2
89	не имеет никакого	2	2
90	вопрос о том	2	2
91	только тогда когда	4	2
92	вещи и не	2	2
93	в данном случае	10	2
94	в этом смысле	8	2
95	а не только	2	2
96	и не есть	3	2
97	каком случае не	4	2
98	нельзя сказать что	2	2
99	и в этом	5	2
100	даже и не	4	2
101	и в частности	3	2
102	есть еще и	2	2
103	крайней мере в	2	2
104	тех или иных	2	2
105	то что не	2	2
