N	2gram	Trubetskoy	KFilosof
1	может быть	10	45
2	в его	5	42
3	в нем	4	32
4	не может	4	29
5	и не	8	28
6	и в	26	28
7	в котором	4	24
8	отношению к	3	22
9	в себе	6	21
10	только в	4	18
11	в своем	3	17
12	а не	5	17
13	в этом	15	15
14	не в	2	13
15	для него	3	13
16	точки зрения	13	13
17	но не	8	12
18	и это	2	12
19	к нему	7	12
20	во всех	2	11
21	из себя	2	11
22	все эти	6	11
23	и для	5	10
24	все это	6	10
25	с точки	6	10
26	но и	9	9
27	как бы	12	9
28	и все	2	9
29	если бы	3	8
30	не было	2	8
31	лишь в	5	8
32	в мире	5	8
33	жизни и	2	8
34	и здесь	2	7
35	то что	7	7
36	уже не	3	7
37	конечно не	2	7
38	и только	4	7
39	что и	6	7
40	отношение к	5	6
41	в том	11	6
42	но все	7	6
43	не имеет	5	6
44	в смысле	4	6
45	и действительно	2	6
46	он не	4	6
47	никогда не	5	5
48	все же	6	5
49	не только	10	5
50	мы имеем	2	5
51	хотя бы	3	5
52	то же	4	5
53	еще не	2	5
54	а в	4	5
55	но в	7	5
56	культуры и	3	5
57	ко всему	2	5
58	именно в	2	5
59	в одном	3	5
60	что это	3	4
61	том что	7	4
62	что в	9	4
63	не как	2	4
64	и т.д	6	4
65	ни было	2	4
66	прежде всего	2	4
67	к ним	3	4
68	при этом	3	4
69	из него	2	4
70	между тем	2	4
71	в то	4	3
72	для того	5	3
73	в виду	2	3
74	людей и	2	3
75	по своему	2	3
76	не менее	3	3
77	о том	6	3
78	в свою	2	3
79	тогда когда	2	3
80	и на	2	3
81	того что	3	3
82	той или	2	3
83	тот же	2	3
84	культурные ценности	2	3
85	быть и	2	3
86	ясно что	3	3
87	для этого	2	2
88	культура в	3	2
89	или иной	2	2
90	и потому	6	2
91	ли это	2	2
92	не потому	2	2
93	то ни	2	2
94	к этому	3	2
95	тем не	3	2
96	и как	3	2
97	в виде	4	2
98	то или	2	2
99	в области	9	2
100	а с	7	2
101	что он	4	2
102	из которых	4	2
103	со всеми	2	2
104	так и	6	2
105	всех других	2	2
106	с тем	18	2
107	этот факт	2	2
108	выход из	2	2
109	ему в	2	2
110	ни у	2	2
111	если не	2	2
112	в процессе	2	2
113	один из	2	2
114	потому что	7	2
115	того чтобы	5	2
116	или иное	2	2
117	и мир	2	2
118	в качестве	3	2
119	же время	2	2
120	ничего общего	2	2
121	в этой	4	2
122	бы то	2	2
123	с его	2	2
