N	2gram	Berdyaev_O	KulturaY
1	т е	4	102
2	и в	19	84
3	в том	5	74
4	потому что	9	68
5	не только	11	60
6	в этом	12	57
7	было бы	3	53
8	и не	13	52
9	может быть	11	47
10	том что	2	44
11	того чтобы	4	44
12	что в	4	44
13	для того	3	41
14	в самом	5	41
15	хотя бы	3	37
16	так как	2	36
17	а не	11	33
18	не в	11	30
19	прежде всего	9	30
20	в его	7	30
21	все же	2	29
22	того что	3	28
23	все эти	4	28
24	не может	4	25
25	то что	5	25
26	вопрос о	10	24
27	еще не	3	24
28	так и	2	23
29	но и	13	20
30	по себе	2	20
31	что он	3	19
32	но в	2	19
33	тем что	2	19
34	о том	3	19
35	что же	2	19
36	все это	6	18
37	с тем	2	18
38	как бы	3	18
39	и с	2	18
40	это не	3	17
41	ничего не	2	16
42	что не	4	16
43	что и	2	16
44	а в	5	15
45	должно быть	2	15
46	лишь в	7	15
47	не было	9	15
48	хотя и	2	14
49	сказать что	2	14
50	и на	2	14
51	не могут	3	13
52	в этой	5	13
53	и его	4	13
54	могут быть	3	12
55	в своем	2	11
56	в нем	10	11
57	и то	2	11
58	уже в	2	11
59	он не	7	11
60	к этому	2	10
61	как и	6	10
62	что все	2	9
63	и для	2	9
64	в своей	2	9
65	в которой	2	9
66	и вот	3	9
67	не имеет	2	9
68	и есть	3	9
69	в своих	3	8
70	и о	2	8
71	что они	2	8
72	с его	4	8
73	в этих	3	8
74	не есть	2	8
75	до конца	7	7
76	и потому	2	7
77	не все	2	7
78	в истории	2	7
79	в самой	9	7
80	есть лишь	4	7
81	когда он	3	7
82	с ним	3	7
83	учение о	2	7
84	в себе	3	6
85	как к	2	6
86	можно ли	2	6
87	в ее	2	6
88	же это	2	6
89	никогда не	9	5
90	и к	2	5
91	в другом	2	5
92	так что	2	5
93	даже и	2	5
94	и от	3	5
95	и он	8	5
96	вопросом о	2	5
97	у него	22	5
98	отношение к	5	5
99	чем в	2	5
100	его в	2	4
101	различие между	3	4
102	сразу же	2	4
103	всего в	2	4
104	подойти к	2	4
105	одно из	2	4
106	и все	10	4
107	к нему	3	4
108	к этой	2	4
109	что для	2	4
110	но он	7	4
111	в россии	5	3
112	вместо того	2	3
113	потребность в	2	3
114	о его	5	3
115	только и	4	3
116	мысли и	3	3
117	в других	2	3
118	что есть	2	3
119	на западе	2	3
120	для него	5	3
121	из всего	2	3
122	что у	2	3
123	он в	2	3
124	все что	3	3
125	о природе	3	2
126	от него	7	2
127	достоевского и	5	2
128	у достоевского	19	2
129	никто не	3	2
130	ее в	2	2
131	любовь к	2	2
132	это было	3	2
133	и там	2	2
134	и мысли	4	2
135	должен был	2	2
136	их не	2	2
137	то к	2	2
138	и против	2	2
139	в русской	3	2
140	момент в	2	2
141	все в	4	2
