N	2gram	Bakhtin_Fr	Istorich
1	и в	105	181
2	может быть	11	115
3	не только	24	114
4	что он	5	111
5	что в	4	90
6	но и	20	85
7	в этом	22	81
8	так как	11	75
9	то что	7	73
10	таким образом	5	72
11	и не	34	67
12	все же	10	65
13	мы видим	2	65
14	в этих	6	64
15	еще не	8	63
16	не может	9	61
17	так же	2	57
18	то же	6	56
19	никогда не	11	56
20	в том	17	53
21	том что	9	53
22	с другой	3	52
23	а в	4	52
24	потому что	6	52
25	что и	2	51
26	и здесь	4	51
27	мы видели	3	49
28	о том	5	48
29	связь с	8	47
30	его в	7	47
31	не в	4	47
32	превращается в	6	45
33	мы должны	2	44
34	но в	16	44
35	и пр	5	44
36	это не	4	43
37	и его	24	43
38	в нем	16	42
39	только в	16	42
40	как в	6	42
41	представление о	2	41
42	или в	2	39
43	в его	24	38
44	для нас	5	38
45	тем что	5	38
46	и на	25	38
47	так и	16	37
48	он не	3	37
49	уже не	3	37
50	как и	15	37
51	мы уже	18	37
52	мы можем	2	36
53	здесь мы	2	35
54	что они	2	35
55	все эти	15	35
56	во время	14	34
57	но не	7	34
58	связи с	5	34
59	у него	2	34
60	представления о	3	33
61	там где	3	33
62	об этом	2	33
63	сих пор	7	32
64	так в	4	31
65	ничего не	3	31
66	прежде всего	26	31
67	один из	5	31
68	до сих	7	30
69	с одной	2	30
70	к нему	5	30
71	но все	5	29
72	как мы	12	29
73	одной стороны	2	29
74	но это	5	29
75	например в	3	28
76	и другие	10	28
77	в обряде	3	28
78	и с	8	28
79	того что	3	27
80	могут быть	4	27
81	мы здесь	4	26
82	в ней	7	26
83	и др	32	26
84	на него	2	26
85	в дальнейшем	10	25
86	и он	3	25
87	было бы	4	24
88	что мы	2	24
89	к этому	2	24
90	не менее	2	24
91	все это	16	23
92	в частности	6	23
93	в этой	11	23
94	их в	3	23
95	имеем в	2	23
96	и это	3	23
97	как бы	33	23
98	при этом	10	22
99	и по	3	22
100	с ним	6	22
101	в некоторых	2	22
102	в одном	8	21
103	сказать что	12	21
104	ее в	2	21
105	в другом	2	21
106	к тому	3	21
107	здесь не	3	21
108	связано с	2	21
109	в связи	2	21
110	связан с	5	21
111	другими словами	2	20
112	она не	2	20
113	одна из	5	20
114	в свете	3	20
115	в других	3	20
116	из них	7	20
117	наряду с	2	20
118	из этих	7	20
119	так например	3	19
120	а затем	4	19
121	и как	2	19
122	в тех	5	19
123	есть и	2	19
124	на то	2	19
125	но он	5	19
126	вовсе не	25	18
127	в то	5	18
128	по существу	2	17
129	и этим	2	17
130	в них	13	17
131	можно найти	3	17
132	не вполне	3	16
133	всех этих	10	16
134	связана с	8	16
135	и она	2	16
136	и действительно	2	16
137	и все	7	16
138	этот вопрос	2	16
139	во всех	13	16
140	в целом	3	15
141	на его	4	15
142	в своей	8	15
143	даже в	6	15
144	в особенности	7	15
145	в пределах	3	15
146	друг друга	3	15
147	и эти	2	15
148	и даже	10	15
149	он в	2	15
150	от него	2	14
151	отношение к	9	14
152	в него	2	14
153	должен был	2	14
154	можно было	4	14
155	с ней	2	14
156	отношению к	2	14
157	из которых	2	14
158	его на	2	14
159	одной из	3	14
160	по отношению	2	14
161	и наконец	2	14
162	но они	4	14
163	своего рода	2	13
164	и для	3	13
165	все что	2	13
166	в таких	2	13
167	смерти и	6	13
168	и от	3	13
169	на котором	3	13
170	на этом	2	13
171	в книге	3	13
172	в своем	11	13
173	и у	7	13
174	в себе	7	13
175	с ними	2	13
176	не просто	3	13
177	в форме	6	13
178	кроме того	2	12
179	во всем	5	12
180	в их	6	12
181	и их	3	12
182	одним из	4	12
183	в более	4	12
184	между прочим	2	12
185	на землю	3	12
186	хотя бы	2	12
187	за ним	2	12
188	к себе	3	12
189	в основном	4	12
190	о нем	4	12
191	не знает	6	12
192	что не	3	12
193	к ней	2	12
194	и вот	5	11
195	должно было	2	11
196	и более	4	11
197	связанные с	2	11
198	относится к	4	11
199	главным образом	6	11
200	только с	3	11
201	точки зрения	10	11
202	хотя и	4	11
203	здесь еще	3	11
204	уже в	5	11
205	далеко не	6	11
206	же в	4	11
207	в очень	2	11
208	к которому	2	11
209	на этой	5	10
210	в ее	5	10
211	говорит о	2	10
212	но как	3	10
213	есть только	3	10
214	связанных с	4	10
215	на земле	3	10
216	там же	2	10
217	он и	3	10
218	в состоянии	3	10
219	и других	6	10
220	связаны с	5	10
221	его к	2	10
222	о чем	3	10
223	в это	2	10
224	не было	3	10
225	друг с	2	10
226	и к	7	10
227	в истории	5	9
228	тот же	4	9
229	в основе	8	9
230	в себя	9	9
231	не могут	4	9
232	это и	3	9
233	на этот	3	9
234	но для	3	9
235	жизни и	14	9
236	с другом	2	9
237	только на	3	9
238	в чем	2	9
239	себе в	2	9
240	но здесь	4	9
241	с его	9	9
242	в течение	3	9
243	и так	2	9
244	целый ряд	2	9
245	приводит к	2	9
246	роль в	6	8
247	одно из	7	8
248	здесь в	14	8
249	именно в	6	8
250	входит в	4	8
251	тому как	2	8
252	во всяком	2	8
253	или даже	2	8
254	именно на	2	8
255	мы будем	4	8
256	здесь же	3	8
257	на это	2	8
258	в жизни	7	8
259	подобно тому	2	8
260	большинстве случаев	2	8
261	и потому	14	8
262	смерти в	2	8
263	та же	2	8
264	в целях	2	8
265	но с	2	8
266	от того	2	8
267	он был	3	8
268	и эта	5	8
269	и сам	2	8
270	можно сказать	4	8
271	конечно не	2	8
272	на самом	6	7
273	в конце	3	7
274	и о	4	7
275	того чтобы	3	7
276	под влиянием	3	7
277	этот момент	3	7
278	тех же	3	7
279	и часто	3	7
280	себе и	2	7
281	еще в	3	7
282	о которых	2	7
283	вплоть до	2	7
284	эти два	2	7
285	но эта	2	7
286	в начале	4	7
287	в какой	2	7
288	всяком случае	2	7
289	по его	3	7
290	как на	4	7
291	между тем	5	7
292	совершенно не	5	7
293	в эту	6	7
294	во многих	2	7
295	можно только	5	7
296	эти формы	5	7
297	думать что	2	7
298	земли и	5	7
299	в области	10	7
300	самом деле	3	7
301	образом в	3	7
302	на них	3	7
303	здесь и	5	7
304	страх перед	2	7
305	для него	12	7
306	в большинстве	2	7
307	одну из	2	6
308	для того	2	6
309	а иногда	2	6
310	отличие от	5	6
311	нам кажется	2	6
312	вступают в	2	6
313	почти не	2	6
314	нет ничего	3	6
315	и за	2	6
316	характерно что	2	6
317	между ними	4	6
318	же он	2	6
319	с миром	3	6
320	формы и	7	6
321	на эту	2	6
322	не могла	2	6
323	не на	2	6
324	также и	3	6
325	здесь на	3	6
326	и становится	2	6
327	он дает	4	6
328	видеть в	2	6
329	его от	2	6
330	к жизни	2	6
331	этих двух	2	6
332	что по	2	6
333	отношения к	5	6
334	это уже	4	5
335	проникнуть в	3	5
336	бы быть	2	5
337	это было	2	5
338	в своих	8	5
339	это можно	2	5
340	это время	2	5
341	всего что	2	5
342	по своей	3	5
343	в свое	6	5
344	xix века	6	5
345	по своему	9	5
346	том числе	10	5
347	мира и	4	5
348	для них	2	5
349	но при	2	5
350	другом месте	2	5
351	это в	5	5
352	бы в	2	5
353	с ее	3	5
354	уже очень	2	5
355	несмотря на	5	5
356	в совершенно	2	5
357	но даже	2	5
358	в виду	5	5
359	от своего	2	5
360	они были	6	5
361	обрядов и	2	5
362	они стали	2	5
363	античности и	2	5
364	еще более	6	5
365	оно не	2	5
366	этом мы	2	5
367	мы и	4	5
368	без всякого	3	5
369	во все	2	5
370	на все	5	5
371	например у	2	5
372	и очень	2	5
373	эта сторона	2	5
374	да и	5	5
375	он как	2	5
376	могла бы	2	5
377	в таком	2	5
378	в отличие	4	5
379	есть на	2	5
380	к этим	2	4
381	связанное с	2	4
382	людей и	2	4
383	явление в	2	4
384	и во	6	4
385	и вообще	5	4
386	время в	3	4
387	быть только	3	4
388	ни с	3	4
389	себя и	2	4
390	он находит	2	4
391	во второй	2	4
392	еще на	2	4
393	в разных	2	4
394	с этими	2	4
395	тела и	7	4
396	во всей	4	4
397	в мир	2	4
398	особенно в	2	4
399	в животном	2	4
400	что касается	3	4
401	в ту	2	4
402	как раз	3	4
403	человека и	4	4
404	а его	2	4
405	в литературе	9	4
406	содержит в	2	4
407	на тех	2	4
408	по сравнению	2	4
409	всем что	2	4
410	здесь только	2	4
411	с точки	6	4
412	еще и	6	4
413	их с	2	4
414	под названием	3	4
415	дело в	2	4
416	их от	2	4
417	мы найдем	2	4
418	ни к	2	4
419	по ходу	3	4
420	есть в	6	4
421	в самом	7	4
422	они в	2	4
423	но на	3	4
424	книге о	2	4
425	в свой	2	3
426	это как	5	3
427	точку зрения	2	3
428	из всех	3	3
429	уже говорили	12	3
430	это всегда	2	3
431	точка зрения	3	3
432	нельзя сказать	2	3
433	и многие	2	3
434	на языке	2	3
435	при всей	2	3
436	на всю	4	3
437	так сказать	5	3
438	при таком	2	3
439	и та	2	3
440	же она	2	3
441	человеческого тела	2	3
442	духа и	3	3
443	этой же	2	3
444	сравнению с	2	3
445	которых они	2	3
446	на эти	2	3
447	он всегда	2	3
448	в загробном	2	3
449	мы находим	4	3
450	всех других	2	3
451	в противоположность	3	3
452	средние века	12	3
453	поэтому в	3	3
454	человек в	2	3
455	в системе	3	3
456	смерти с	2	3
457	начиная с	2	3
458	как к	3	3
459	мире и	3	3
460	в формах	3	3
461	вопрос мы	2	3
462	отметить что	2	3
463	его развития	6	3
464	например на	2	3
465	в наши	2	3
466	знает и	2	3
467	обряды и	2	3
468	от всех	3	3
469	образом на	2	3
470	раз и	2	3
471	и именно	2	3
472	др все	2	3
473	который был	3	3
474	ее то	2	3
475	в эпоху	17	3
476	подойти к	2	3
477	и смысл	2	3
478	где они	3	3
479	даже и	5	3
480	и до	6	3
481	говорили что	3	3
482	у других	2	3
483	в средние	13	3
484	не о	2	2
485	его связь	4	2
486	как ее	2	2
487	не были	4	2
488	образов и	5	2
489	а и	2	2
490	наконец в	2	2
491	он еще	3	2
492	в новой	2	2
493	и конец	2	2
494	о человеке	2	2
495	культуры но	4	2
496	стремление к	2	2
497	от мира	2	2
498	или меньшей	7	2
499	числе и	7	2
500	значение и	3	2
501	проникает в	2	2
502	почти все	3	2
503	в риме	2	2
504	самом же	3	2
505	лишь в	4	2
506	с рождением	3	2
507	рассказы и	2	2
508	мы всегда	2	2
509	можно говорить	3	2
510	для выражения	2	2
511	они еще	2	2
512	было очень	2	2
513	в день	3	2
514	на некоторых	2	2
515	в особой	2	2
516	в нашем	3	2
517	мире в	2	2
518	здесь с	2	2
519	этих форм	6	2
520	старого и	2	2
521	смерть в	2	2
522	одновременно и	3	2
523	организации и	2	2
524	на новый	2	2
525	в основу	2	2
526	и самый	2	2
527	в сущности	20	2
528	они являются	4	2
529	был и	4	2
530	это очень	2	2
531	как например	2	2
532	же с	2	2
533	и еще	5	2
534	его нельзя	2	2
535	иногда довольно	2	2
536	жизнь и	3	2
537	строя и	3	2
538	характерно для	3	2
539	природу и	2	2
540	перестает быть	3	2
541	не к	2	2
542	связанной с	2	2
543	на время	4	2
544	и следовательно	3	2
545	в процессе	2	2
546	со смертью	3	2
547	др в	2	2
548	всего мира	3	2
549	и прежде	4	2
550	приобщение к	2	2
551	многие из	2	2
552	века и	8	2
553	из своей	2	2
554	меньшей степени	8	2
555	характер и	4	2
556	позволит нам	2	2
557	на материале	3	2
558	всех его	3	2
559	мы остановимся	5	2
560	в самой	5	2
561	различные формы	2	2
562	был связан	2	2
563	что для	3	2
564	итак в	3	2
565	оно было	2	2
566	и вся	2	2
567	культа и	5	2
568	и иногда	2	2
569	этот страх	2	2
570	уже к	2	2
571	он пишет	2	2
572	не входит	2	2
573	он так	2	2
574	место в	4	2
575	и со	3	2
576	в свет	3	2
577	этого момента	2	2
578	этот процесс	5	2
579	а о	2	2
580	к миру	2	2
581	с полной	3	2
582	форм в	2	2
583	следовательно не	2	2
584	и перед	3	2
585	направлен на	4	2
586	она была	6	2
587	нет и	2	2
588	во многом	3	2
589	большей или	7	2
590	на первом	4	2
591	же деле	3	2
592	не для	2	2
593	к какому	2	2
594	бы ни	2	2
595	в большей	8	2
596	учение о	2	2
597	подчеркнуть что	2	2
