N	3gram	Vygotskiy_	VLabPisa
1	и т д	6	16
2	в этом отношении	3	14
3	и т п	5	9
4	с другой стороны	8	8
5	не может быть	4	8
6	по отношению к	2	7
7	по этому поводу	4	7
8	в конечном счете	2	5
9	в том что	30	5
10	в зависимости от	7	5
11	вместе с тем	4	4
12	в художественном произведении	2	4
13	к тому что	8	4
14	можно сказать что	3	4
15	равно как и	2	4
16	для того чтобы	41	3
17	о том что	15	3
18	как это делает	3	3
19	во всех этих	2	2
20	в конце концов	6	2
21	с одной стороны	15	2
22	не только не	4	2
23	этой точки зрения	3	2
24	не только в	5	2
25	мы знаем что	3	2
26	до сих пор	9	2
27	таким образом в	2	2
28	иметь в виду	3	2
29	в том чтобы	6	2
30	можно было бы	4	2
