N	2gram	Tiupa_Disk	Vladivir
1	и в	27	116
2	то что	10	71
3	и не	25	67
4	в году	3	65
5	не только	36	65
6	в этом	29	53
7	в том	29	52
8	том что	27	51
9	что в	8	48
10	но и	22	47
11	в его	9	40
12	и с	2	39
13	то есть	29	37
14	сказать что	4	36
15	и даже	4	36
16	также и	6	36
17	там же	3	35
18	потому что	7	33
19	что он	6	32
20	не может	17	31
21	о том	12	30
22	только в	9	30
23	никогда не	3	29
24	как мы	2	29
25	для него	9	29
26	а в	5	27
27	не было	9	26
28	в то	8	25
29	но в	15	25
30	в себе	22	25
31	и то	4	25
32	а к	3	25
33	и его	4	25
34	а также	15	24
35	точки зрения	6	23
36	может быть	29	23
37	он не	4	23
38	что же	4	23
39	об этом	3	22
40	ни в	7	22
41	в своей	10	21
42	вместе с	3	21
43	в своем	11	20
44	прежде всего	17	20
45	и что	2	20
46	и потому	3	19
47	и вообще	2	19
48	так и	14	19
49	не менее	6	19
50	таким образом	4	19
51	не в	8	18
52	как это	2	18
53	как и	27	18
54	хотя и	3	18
55	с его	9	18
56	едва ли	2	17
57	что и	5	17
58	в этой	5	17
59	а не	35	17
60	уже не	7	16
61	все же	8	16
62	того что	4	16
63	к тому	6	16
64	и все	5	16
65	для себя	6	16
66	в котором	7	16
67	не есть	3	16
68	до конца	2	15
69	разного рода	2	15
70	под названием	2	15
71	но это	3	15
72	к этому	4	15
73	это было	2	15
74	то же	12	15
75	в своих	6	15
76	и к	4	15
77	того же	5	14
78	уже в	2	14
79	же касается	4	14
80	тут же	3	14
81	все эти	2	14
82	и как	9	14
83	и на	8	14
84	можно сказать	7	13
85	да и	2	13
86	и от	2	13
87	в результате	3	13
88	дело в	3	13
89	жизни и	2	13
90	во всем	2	13
91	только на	2	12
92	в нем	16	12
93	и по	2	12
94	связи с	4	12
95	некоторого рода	2	12
96	во всяком	3	12
97	содержит в	3	12
98	и это	3	12
99	по себе	3	12
100	всяком случае	2	12
101	еще в	6	11
102	или менее	2	11
