N	3gram	Voloshinov	Myshleni
1	с точки зрения	6	89
2	по сравнению с	3	45
3	так же как	2	39
4	с самого начала	4	36
5	о том что	2	25
6	не может быть	3	23
7	можно сказать что	3	21
8	в самом деле	2	19
9	во всяком случае	3	18
10	в этом смысле	3	18
11	до сих пор	3	17
12	друг на друга	2	10
13	на самом деле	4	9
14	в конечном счете	2	9
15	не могут быть	2	8
16	на этой ступени	2	5
17	и в этом	2	5
18	по аналогии с	2	4
19	мы можем теперь	2	3
20	по ту сторону	4	3
21	и может быть	2	2
22	в большинстве случаев	3	2
23	нет никаких оснований	2	2
