N	3gram	Trubetskoy	Vvedenie
1	для того чтобы	5	22
2	в том что	3	15
3	о том что	4	13
4	тем не менее	3	9
5	с течением времени	3	7
6	до сих пор	5	7
7	в то же	2	6
8	то же время	2	6
9	во всяком случае	6	5
10	по крайней мере	5	4
11	так или иначе	3	4
12	в этом отношении	2	4
13	и в этом	2	4
14	но все же	4	4
15	с одной стороны	7	4
16	с точки зрения	6	4
17	по сравнению с	2	4
18	вместе с тем	8	3
19	то же самое	2	3
20	той или иной	2	3
21	можно сказать что	2	3
22	в том виде	2	3
23	но вместе с	2	2
24	всяком случае не	3	2
25	в значительной мере	2	2
26	этой точки зрения	2	2
27	с этой точки	2	2
28	в конце концов	3	2
29	точно так же	3	2
30	и потому что	2	2
31	может быть и	2	2
32	в связи с	3	2
33	а так как	3	2
34	влечет за собой	2	2
