N	3gram	Losev_Vlad	Literetu
1	в то же	7	21
2	то же время	7	21
3	в том что	13	21
4	не может быть	4	11
5	о том что	9	10
6	так или иначе	3	10
7	в этом отношении	2	10
8	не говоря уже	3	8
9	с другой стороны	3	7
10	говоря уже о	3	6
11	к тому же	3	6
12	не только в	3	6
13	тем не менее	8	5
14	в связи с	7	5
15	еще в году	2	5
16	в том чтобы	4	5
17	бы то ни	2	4
18	при этом в	2	4
19	и то что	7	4
20	во всяком случае	8	3
21	на то что	6	3
22	и в частности	3	3
23	в том же	3	3
24	в свою очередь	2	3
25	на эту тему	2	2
26	тех пор пока	2	2
27	что же касается	8	2
28	для того чтобы	3	2
29	за то что	2	2
30	так и не	3	2
31	в свое время	6	2
32	во второй половине	3	2
33	для своего времени	2	2
34	вместе с тем	2	2
35	дело в том	7	2
36	до тех пор	2	2
37	в сравнении с	2	2
