N	2gram	Voloshinov	Tragedij
1	и в	32	18
2	в романе	2	10
3	в этом	27	9
4	не только	18	8
5	и не	42	7
6	и на	8	7
7	как бы	31	7
8	и с	4	7
9	может быть	50	7
10	же время	7	6
11	что он	5	6
12	но в	13	6
13	и его	33	6
14	у него	2	6
15	что это	3	5
16	к жизни	2	5
17	все же	13	5
18	это не	5	5
19	то же	19	5
20	как и	19	5
21	в дальнейшем	3	5
22	так и	21	5
23	не может	40	5
24	в то	7	5
25	что в	5	4
26	еще не	7	4
27	в целом	2	4
28	но и	17	4
29	прежде всего	19	4
30	том что	12	4
31	в этой	3	4
32	и что	2	4
33	так же	10	4
34	и все	8	4
35	все это	4	4
36	в нем	17	4
37	то что	12	4
38	и даже	4	4
39	в себе	5	4
40	и как	8	3
41	уже в	3	3
42	к нему	5	3
43	в своем	3	3
44	при этом	13	3
45	в его	10	3
46	все эти	8	3
47	мог бы	2	3
48	и он	4	3
49	отнюдь не	14	3
50	в основном	10	3
51	с ее	2	3
52	должно быть	4	3
53	как в	5	3
54	как это	2	3
55	для него	18	3
56	то есть	2	3
57	в конце	5	3
58	никогда не	7	2
59	в самом	14	2
60	и то	4	2
61	но все	4	2
62	до конца	6	2
63	одна из	6	2
64	друг друга	10	2
65	тем что	3	2
66	в душе	3	2
67	вопрос о	6	2
68	в одном	2	2
69	его в	7	2
70	не имеет	6	2
71	ничего не	9	2
72	нет в	2	2
73	в данном	8	2
74	не могут	4	2
75	как же	5	2
76	в ее	9	2
77	что все	3	2
78	к тому	8	2
79	а как	7	2
80	о том	4	2
81	что и	5	2
82	ни в	7	2
83	не в	13	2
84	столь же	2	2
85	и здесь	9	2
86	потому что	2	2
87	между этими	2	2
88	не просто	2	2
89	в частности	2	2
90	в таком	8	2
91	так что	2	2
92	он не	5	2
93	и ее	4	2
94	в первом	3	2
95	бы и	2	2
96	уже не	2	2
97	этими двумя	2	2
98	и это	6	2
99	если б	2	2
100	но они	2	2
101	не так	2	2
102	отличие от	7	2
103	в том	13	2
104	и до	4	2
105	но при	3	2
106	в отличие	7	2
107	еще в	2	2
108	он и	2	2
109	с его	6	2
110	он был	2	2
