N	2gram	Losev_Dial	DiskursI
1	а не	39	60
2	может быть	30	56
3	не только	35	49
4	и в	34	49
5	как и	14	47
6	при этом	7	46
7	в том	17	44
8	и не	50	44
9	том что	18	40
10	в этом	14	38
11	в себе	8	37
12	в частности	3	36
13	но и	14	35
14	но не	3	31
15	со стороны	5	28
16	так и	11	28
17	отличие от	2	28
18	но в	3	28
19	не может	29	27
20	как в	2	25
21	еще не	7	23
22	отнюдь не	16	23
23	все же	4	19
24	прежде всего	20	19
25	в нем	7	19
26	в своей	4	19
27	в основе	6	18
28	в данном	6	17
29	то же	9	17
30	с другой	5	17
31	в мире	2	17
32	точки зрения	43	16
33	только в	10	16
34	в его	6	15
35	то что	25	15
36	о том	11	15
37	это не	13	14
38	или иной	4	14
39	не в	11	14
40	не менее	11	14
41	одной стороны	3	14
42	можно сказать	5	14
43	ни к	3	14
44	с одной	4	14
45	для него	4	13
46	как бы	19	13
47	данном случае	3	12
48	в своем	7	12
49	и все	17	12
50	в своих	3	12
51	и на	6	12
52	что в	12	11
53	с его	7	11
54	и как	13	11
55	не было	6	11
56	для себя	2	10
57	а в	3	10
58	той или	3	10
59	также и	6	10
60	же время	5	10
61	тем самым	3	9
62	в то	9	9
63	в силу	5	9
64	в них	6	9
65	уже не	9	9
66	себя в	3	9
67	этом отношении	2	8
68	и о	9	8
69	к тому	4	8
70	потому что	21	8
71	не на	7	8
72	хотя и	9	8
73	в противоположность	3	8
74	и даже	21	8
75	в этих	3	8
76	в себя	4	8
77	в котором	2	8
78	в одном	3	8
79	из них	4	8
80	совпадает с	2	8
81	он не	8	8
82	перед нами	5	7
83	его в	2	7
84	о чем	2	7
85	могут быть	5	7
86	и ее	8	7
87	одной из	3	7
88	и для	5	7
89	но это	10	7
90	в процессе	2	7
91	что и	8	7
92	например в	3	7
93	в этой	3	7
94	другой стороны	4	7
95	к этому	3	7
96	ни в	20	7
97	той же	6	7
98	и его	8	7
99	таким образом	14	7
100	нового времени	2	7
101	тому же	2	7
102	никогда не	9	6
103	в одной	4	6
104	что он	18	6
105	не знает	4	6
106	одно из	8	6
107	именно в	5	6
108	тому как	5	6
109	что же	12	6
110	здесь не	2	6
111	крайней мере	10	6
112	и может	2	6
113	в сущности	10	6
114	в истории	7	6
115	в ее	5	6
116	и то	7	6
117	одна из	4	6
118	то в	5	6
119	во всех	2	6
120	в особенности	9	6
121	по крайней	10	6
122	с точки	25	6
123	ничего не	29	5
124	в виду	12	5
125	в их	2	5
126	не всегда	3	5
127	претендует на	2	5
128	и потому	6	5
129	того что	22	5
130	о нем	6	5
131	мира и	3	5
132	несмотря на	2	5
133	общения с	2	5
134	не предполагает	2	5
135	было в	2	5
136	того как	2	5
137	как будто	3	5
138	сказать что	7	5
139	но она	4	5
140	из этих	5	5
141	за пределы	3	5
142	с ее	10	5
143	я и	2	5
144	из двух	4	5
145	себе не	3	5
146	но они	3	5
147	подобно тому	5	5
148	можно говорить	2	5
149	строго говоря	2	5
150	оно не	7	5
151	на этом	3	5
152	не вполне	2	5
153	как раз	11	5
