N	3gram	Vygotskiy_	Mirosoze
1	не может быть	5	28
2	в том что	41	9
3	для того чтобы	14	7
4	в высшей степени	11	7
5	о том что	3	6
6	вместе с тем	11	6
7	и в этом	2	6
8	и вместе с	2	5
9	до сих пор	3	5
10	что и в	6	5
11	по отношению к	3	4
12	что он не	2	4
13	на то что	5	4
14	заключает в себе	3	4
15	не что иное	2	4
16	не мог бы	3	4
17	то время как	5	4
18	можно было бы	8	4
19	в то время	5	4
20	что иное как	2	4
21	во всяком случае	10	3
22	это значит что	6	3
23	с тем что	4	3
24	одной и той	5	3
25	как и в	3	3
26	же как и	6	3
27	и той же	5	3
28	так же как	9	3
29	по своему значению	2	3
30	так как он	2	3
31	по сравнению с	4	3
32	и во всяком	2	2
33	лежит в основе	3	2
34	смысле этого слова	10	2
35	между тем как	4	2
36	это означает что	2	2
37	в этом отношении	9	2
38	никогда не бывает	2	2
39	хотя бы и	2	2
40	том что в	3	2
41	в себе и	2	2
42	в том смысле	3	2
43	и те же	3	2
