N	3gram	Tiupa_Narr	Problema
1	тем не менее	6	56
2	о том что	3	39
3	в том что	11	37
4	то же самое	3	30
5	в связи с	3	29
6	в данном случае	12	28
7	той или иной	6	26
8	во всяком случае	2	25
9	с точки зрения	2	25
10	на то что	2	19
11	для того чтобы	4	17
12	в то же	7	17
13	точно так же	2	16
14	до сих пор	3	14
15	сами по себе	2	13
16	того или иного	3	13
17	не может быть	6	12
18	можно сказать что	5	12
19	дело в том	2	11
20	с одной стороны	5	11
21	более или менее	2	10
22	не только не	2	10
23	не только в	12	10
24	и тем самым	6	10
25	хотя и не	2	7
26	к тому же	8	7
27	чем иным как	2	7
28	но и в	4	7
29	и то же	2	6
30	в самом деле	3	6
31	в этом отношении	5	6
32	с той или	2	5
33	одно и то	2	5
34	в зависимости от	3	5
35	здесь не только	2	4
36	а с другой	2	4
37	что это за	2	4
38	подобно тому как	4	4
39	мы имеем дело	4	4
40	в смысловом отношении	2	4
41	к тому что	4	3
42	и в то	2	3
43	одного и того	2	3
44	в отличие от	6	3
45	в известном смысле	4	3
46	и того же	2	3
47	в войне и	2	2
48	по отношению к	5	2
49	и все же	4	2
50	как раз в	3	2
51	и не может	3	2
52	в свою очередь	2	2
53	друг на друга	2	2
54	не было и	2	2
55	в частности в	2	2
56	времени и пространстве	6	2
57	и т п	2	2
58	перед нами не	2	2
59	войне и мире	2	2
60	внимание на то	2	2
61	а в том	2	2
62	в нем не	2	2
63	но и не	2	2
