N	3gram	Vygotskiy_	Literetu
1	в то же	2	21
2	в том что	24	21
3	по отношению к	9	12
4	с одной стороны	7	12
5	в данном случае	5	11
6	в отличие от	4	11
7	не может быть	6	11
8	состоит в том	3	11
9	в конечном счете	2	10
10	о том что	4	10
11	в этом отношении	7	10
12	с точки зрения	31	8
13	с другой стороны	3	7
14	из того что	5	6
15	в том числе	2	6
16	подобно тому как	2	6
17	не только в	2	6
18	едва ли не	3	6
19	тем не менее	4	5
20	этой точки зрения	4	5
21	прежде всего в	2	5
22	с этой точки	4	5
23	и тем самым	8	4
24	и то что	5	4
25	то же самое	11	3
26	той или иной	2	3
27	на самом деле	2	3
28	в самом деле	4	3
29	только в том	2	3
30	на то что	5	3
31	одной стороны и	4	3
32	том числе и	2	3
33	но и не	3	3
34	в том же	3	3
35	в свою очередь	3	3
36	в равной мере	2	2
37	одно и то	3	2
38	для того чтобы	24	2
39	и то же	3	2
40	мы имеем дело	2	2
41	и вместе с	2	2
42	не только не	11	2
43	в этом случае	15	2
44	к тому что	10	2
45	можно было бы	5	2
46	вместе с тем	6	2
47	в самом начале	5	2
48	по тем же	2	2
