N	4gram	Tiupa_Anal	TeoriaLi
1	в то же время	7	8
2	присутствия я в мире	4	6
3	одного и того же	4	4
4	внимательно взглянула на меня	2	3
5	пушкина что в имени	3	2
6	о у о о	2	2
7	относительно своей роли в	2	2
8	в рамках одного текста	2	2
9	стихотворении пушкина что в	2	2
10	что в имени тебе	3	2
11	в войне и мире	2	2
12	у о о и	2	2
13	слове о полку игореве	2	2
14	милой гостьи с дудочкой	2	2
15	организации феноменов ментального внутреннего	2	2
16	своей роли в миропорядке	2	2
17	а и а а	2	2
18	в слове о полку	2	2
19	в том что он	2	2
