N	2gram	Tiupa_Anal	Sovremen
1	не может	3	17
2	точки зрения	3	12
3	может быть	19	12
4	таким образом	4	11
5	мы не	4	9
6	в каждом	4	8
7	и в	36	7
8	в этом	19	7
9	и не	14	6
10	ничего не	3	6
11	как и	27	6
12	в результате	6	6
13	мы можем	2	6
14	отдельном случае	2	5
15	с точки	2	5
16	все эти	2	5
17	прежде всего	7	5
18	каждом отдельном	2	5
19	это не	4	4
20	не только	40	4
21	в том	16	4
22	как бы	14	4
23	в дальнейшем	2	4
24	в целом	8	4
25	жизни и	2	4
26	вместе с	3	4
27	а в	17	4
28	из них	4	4
29	и т.д	3	3
30	когда мы	2	3
31	и потому	3	3
32	но в	8	3
33	при этом	19	3
34	не в	9	3
35	все же	6	3
36	у всех	2	3
37	было бы	6	3
38	уже в	5	3
39	в себе	7	3
40	еще не	7	3
41	одна из	6	3
42	и все	3	3
43	все это	5	3
44	в нем	3	3
45	а не	16	3
46	в первом	2	3
47	и к	7	3
48	на две	3	3
49	что она	3	3
50	в этой	10	3
51	то же	7	3
52	в одном	4	3
53	отнюдь не	7	3
54	в конце	6	3
55	на его	3	2
56	и по	3	2
57	который как	2	2
58	всяком случае	6	2
59	значение в	2	2
60	роль в	5	2
61	а на	2	2
62	не менее	9	2
63	той же	7	2
64	не могут	2	2
65	в его	12	2
66	к чему	2	2
67	с этим	4	2
68	и что	2	2
69	во всяком	6	2
70	такого рода	11	2
71	приводит к	5	2
72	что при	2	2
73	свою очередь	7	2
74	из этих	4	2
75	тот или	3	2
76	так сказать	2	2
77	в самом	7	2
78	что в	15	2
79	совершенно не	3	2
80	в таком	2	2
81	у него	2	2
82	такой же	2	2
83	самом деле	2	2
84	со всеми	2	2
85	уже не	9	2
86	в свою	9	2
87	в нашем	4	2
88	не будем	2	2
89	могут быть	4	2
90	в отличие	5	2
91	отличие от	5	2
92	тот же	3	2
93	с одной	3	2
94	на этом	2	2
95	как мы	4	2
96	говорить о	6	2
97	этих двух	2	2
98	или иной	9	2
99	тем не	3	2
100	из которых	2	2
101	как известно	3	2
102	и даже	12	2
