N	3gram	Tiupa_Vved	Istorich
1	в этих случаях	2	47
2	с другой стороны	2	46
3	с одной стороны	9	28
4	в том что	10	25
5	не может быть	6	24
6	тем не менее	3	23
7	о том что	6	22
8	не только в	3	19
9	в данном случае	15	15
10	по отношению к	11	14
11	на то что	2	14
12	как мы видели	3	12
13	но и в	3	12
14	как и в	2	10
15	можно было бы	2	10
16	более или менее	2	9
17	то же самое	2	8
18	с того что	2	8
19	подобно тому как	3	8
20	во всяком случае	3	7
21	на первый взгляд	3	7
22	начинается с того	2	7
23	к тому же	6	6
24	на самом деле	4	5
25	в отличие от	11	5
26	в том чтобы	2	5
27	состоит в том	2	4
28	друг на друга	2	4
29	в этом направлении	2	3
30	это своего рода	3	3
31	как будто бы	3	3
32	в соответствии с	8	3
33	одной стороны и	3	3
34	не в том	3	3
35	и тем самым	2	3
36	в том как	2	2
37	в самом деле	2	2
38	имеем дело с	4	2
39	друг от друга	2	2
40	и для нас	2	2
41	хотя и не	2	2
42	тогда как в	2	2
43	в частности в	2	2
44	при всей своей	3	2
45	в свою очередь	5	2
46	мы имеем дело	5	2
47	а в том	3	2
