N	3gram	Trubetskoy	Narrotol
1	в том что	3	18
2	о том что	4	9
3	к тому же	4	9
4	в то же	2	8
5	той или иной	2	8
6	тем не менее	3	8
7	в этом отношении	2	8
8	то же время	2	8
9	можно сказать что	2	6
10	с одной стороны	7	6
11	для того чтобы	5	5
12	во всяком случае	6	4
13	то же самое	2	3
14	точно так же	3	3
15	в связи с	3	3
16	с точки зрения	6	3
17	заключает в себе	2	3
18	до сих пор	5	3
19	на то что	2	3
20	друг на друга	2	3
21	и потому что	2	2
22	но все же	4	2
23	более или менее	5	2
24	а с другой	5	2
25	так же как	3	2
