N	2gram	Tiupa_Narr	Morfolog
1	и т	3	62
2	может быть	24	61
3	таким образом	5	26
4	действующих лиц	8	22
5	мы имеем	6	19
6	не может	16	19
7	в этом	23	18
8	в этих	3	17
9	представляет собой	21	17
10	и в	22	17
11	и не	34	16
12	представляют собой	5	16
13	перед нами	9	14
14	прежде всего	7	14
15	связи с	3	12
16	а не	27	11
17	то же	12	10
18	в том	20	10
19	не всегда	4	10
20	то что	14	10
21	так и	12	10
22	что в	6	10
23	что и	3	10
24	в связи	3	10
25	все же	10	9
26	но и	39	9
27	с другой	6	9
28	не только	50	8
29	в результате	4	8
30	но не	7	8
31	а в	19	8
32	мы не	5	8
33	в качестве	27	8
34	как мы	3	8
35	том что	15	7
36	если в	2	7
37	по отношению	5	7
38	тем не	7	7
39	наряду с	2	7
40	не менее	6	7
41	отношению к	5	7
42	как это	7	7
43	а также	11	7
44	и здесь	3	7
45	точки зрения	8	7
46	во втором	6	7
47	один из	8	7
48	потому что	7	7
49	это не	6	6
50	но это	2	6
51	не все	2	6
52	во всех	2	6
53	и как	4	6
54	или в	7	6
55	во время	2	6
56	также и	4	6
57	подобно тому	4	6
58	в нашем	4	6
59	о том	5	6
60	с точки	2	6
61	в форме	7	6
62	как бы	11	6
63	вовсе не	2	6
64	одна из	5	5
65	ничего не	8	5
66	в поле	3	5
67	они и	2	5
68	и ее	3	5
69	вслед за	4	5
70	хотя бы	4	5
71	мы можем	2	5
72	было бы	2	5
73	об этом	8	5
74	в ходе	4	5
75	со стороны	14	5
76	героя в	6	5
77	что он	7	5
78	как в	9	5
79	далеко не	6	5
80	тому что	4	5
81	к тому	13	5
82	между тем	5	5
83	в целом	5	5
84	видно что	2	5
85	другой стороны	2	5
86	между собой	3	5
87	тому как	4	5
88	в других	2	5
89	все эти	3	5
90	он не	8	5
91	в первом	4	5
92	если же	2	5
93	хотя и	8	5
94	ясно что	2	5
95	сказать что	5	4
96	так же	2	4
97	в то	9	4
98	можно было	2	4
99	к этому	2	4
100	на него	4	4
101	не является	7	4
102	еще не	6	4
103	самом деле	4	4
104	из них	4	4
105	но в	10	4
106	и для	4	4
107	как и	15	4
108	входит в	2	4
109	уже не	11	4
110	и к	7	4
111	того чтобы	7	4
112	о его	3	4
113	или не	5	3
114	первом случае	3	3
115	то в	4	3
116	но как	3	3
117	здесь не	4	3
118	в которой	2	3
119	а на	2	3
120	это было	3	3
121	что это	4	3
122	и у	4	3
123	друг друга	2	3
124	только что	4	3
125	если бы	9	3
126	в виде	2	3
127	это и	2	3
128	и тем	9	3
129	та же	2	3
130	не в	12	3
131	к герою	2	3
132	для того	4	3
133	героя и	4	3
134	с этой	3	3
135	у нас	4	3
136	о герое	3	3
137	а во	5	3
138	к ней	3	3
139	в пределах	2	3
140	в какой	2	3
141	того что	7	3
142	приводит к	2	3
143	к нему	5	3
144	это уже	3	3
145	они не	3	3
146	на то	4	3
147	а то	2	3
148	состоит в	19	3
149	не происходит	3	3
150	с собой	2	3
151	но для	5	3
152	а по	2	3
153	не существует	3	3
154	к чему	3	3
155	в начале	4	3
156	можно назвать	2	3
157	и тогда	2	3
158	и по	3	3
159	же в	6	3
160	и его	12	3
161	только в	23	3
162	в сущности	2	3
163	и только	2	3
164	в этой	8	3
165	с его	6	3
166	данном случае	12	2
167	и когда	3	2
168	в нее	2	2
169	себя в	4	2
170	идет по	2	2
171	и иных	3	2
172	которое может	2	2
173	в данном	17	2
174	из этих	6	2
175	том как	3	2
176	героя из	2	2
177	одной стороны	5	2
178	дело не	3	2
179	бы в	2	2
180	во второй	2	2
181	у нее	8	2
182	ответ на	6	2
183	если она	3	2
184	а потом	2	2
185	ее из	2	2
186	в обоих	4	2
187	к себе	11	2
188	в другом	5	2
189	также в	2	2
190	и даже	4	2
191	мальчик и	2	2
192	или менее	2	2
193	что она	3	2
194	случае он	2	2
195	роль в	4	2
196	что именно	2	2
197	в данной	2	2
198	превращается в	2	2
199	этом отношении	5	2
200	в частности	23	2
201	одним из	2	2
202	этого не	2	2
203	потому не	2	2
204	на друга	2	2
205	его и	2	2
206	в чем	3	2
207	не знает	2	2
208	к различным	2	2
209	с одной	5	2
210	а потому	2	2
211	должна быть	2	2
212	друг на	2	2
213	или просто	2	2
214	в итоге	4	2
215	а с	2	2
216	и более	2	2
217	одной из	2	2
218	не по	5	2
219	на этот	2	2
220	не имеет	3	2
221	за которым	2	2
222	во сне	4	2
223	она не	2	2
224	особое место	4	2
225	то они	3	2
226	более или	2	2
227	новое лицо	2	2
228	их в	4	2
229	в своих	2	2
230	оно не	4	2
231	быть и	3	2
232	героя к	2	2
233	но они	4	2
234	однако в	4	2
235	для нас	2	2
236	что мы	2	2
237	точно так	2	2
238	всяком случае	2	2
239	к другому	2	2
240	когда в	4	2
241	тогда как	23	2
242	она в	3	2
243	у него	13	2
244	как будто	4	2
245	например в	2	2
246	можно сказать	11	2
247	который в	2	2
248	для него	8	2
249	в одном	5	2
250	во всяком	2	2
251	чем это	2	2
252	по своему	3	2
253	тем же	3	2
