N	3gram	Vinokur_Ku	Mirosoze
1	не может быть	5	28
2	в том что	23	9
3	для того чтобы	21	7
4	о том что	6	6
5	вместе с тем	3	6
6	после того как	2	5
7	до сих пор	5	5
8	мы увидим что	2	5
9	по отношению к	8	4
10	в конце концов	3	4
11	на то что	3	4
12	и в самом	4	4
13	не что иное	2	4
14	можно было бы	11	4
15	что иное как	2	4
16	во всяком случае	8	3
17	том что он	4	3
18	к тому что	2	3
19	потому что она	2	3
20	так же как	3	3
21	у нас все	2	3
22	что не все	2	2
23	т е в	3	2
24	потому что не	2	2
25	смысле этого слова	2	2
26	в этом отношении	8	2
27	не только в	4	2
28	хотя бы и	4	2
29	в том смысле	2	2
30	но также и	2	2
31	к тому чтобы	2	2
32	в наше время	3	2
