N	2gram	Savitsky_E	slovoVRo
1	и в	37	92
2	то есть	6	64
3	может быть	6	59
4	и не	14	51
5	не только	18	44
6	не может	9	41
7	но и	14	39
8	в этом	12	36
9	а не	2	34
10	во всех	6	32
11	так и	10	30
12	точки зрения	23	30
13	могут быть	2	29
14	в пределах	25	29
15	в его	2	27
16	как бы	6	24
17	то же	15	23
18	и на	6	22
19	не в	5	21
20	как в	3	21
21	вовсе не	6	21
22	в то	16	20
23	в процессе	4	20
24	прежде всего	9	19
25	как мы	5	19
26	или иной	4	18
27	как и	7	18
28	же время	14	18
29	в истории	2	17
30	и даже	6	17
31	в большинстве	2	17
32	таким образом	2	17
33	в них	3	16
34	но в	14	16
35	там где	3	15
36	той или	4	15
37	и с	2	15
38	в той	5	15
39	с точки	17	15
40	только в	9	14
41	точка зрения	2	13
42	отношении к	15	13
43	и для	3	13
44	с другой	7	13
45	никогда не	3	12
46	в отношении	32	12
47	и потому	5	12
48	а в	2	12
49	или в	2	12
50	во всяком	3	12
51	и наконец	2	12
52	и к	3	12
53	большинстве случаев	3	11
54	одной стороны	8	11
55	в этих	2	11
56	с одной	8	11
57	в своем	14	10
58	в том	11	10
59	и все	2	10
60	она не	2	10
61	в себе	9	10
62	с другими	2	10
63	далеко не	2	10
64	и от	3	9
65	и других	2	9
66	к нему	2	9
67	в их	11	9
68	в своей	8	9
69	сказать что	4	9
70	так как	7	9
71	но не	5	9
72	в смысле	9	9
73	он не	2	9
74	не могут	2	8
75	для понимания	2	8
76	в ней	4	8
77	не на	4	8
78	с этим	2	8
79	в значительной	2	8
80	в самом	4	8
81	для нас	4	8
82	всяком случае	3	8
83	том что	6	7
84	но именно	2	7
85	по преимуществу	2	7
86	того же	3	7
87	известной степени	3	7
88	также и	7	7
89	еще более	2	7
90	жизни и	2	7
91	на своем	3	7
92	в таком	3	7
93	даже в	4	6
94	бы и	3	6
95	а также	7	6
96	что в	21	6
97	в качестве	14	6
98	можно сказать	4	6
99	другой стороны	2	6
100	стороны и	6	6
101	хотя бы	15	6
102	именно в	4	6
103	в свою	3	6
104	по себе	4	6
105	в одном	2	6
106	мира и	3	6
107	по своим	3	6
108	между тем	8	6
109	меньшей степени	2	5
110	мы не	4	5
111	и по	5	5
112	в других	2	5
113	хотя и	2	5
114	в данном	3	5
115	в результате	3	5
116	этом отношении	3	5
117	не является	3	5
118	для того	6	5
119	должна быть	2	5
120	и более	2	5
121	о том	3	5
122	вместе с	2	5
123	лежат в	4	4
124	так же	9	4
125	его на	2	4
126	но как	2	4
127	что и	3	4
128	свою очередь	2	4
129	в виде	5	4
130	влияние на	2	4
131	в частности	5	4
132	связано с	3	4
133	того что	7	4
134	мы видели	3	4
135	с другом	3	4
136	тогда когда	2	4
137	того чтобы	6	4
138	и во	2	4
139	обстоит дело	3	4
140	же как	5	4
141	одной из	5	4
142	бы ни	3	4
143	и как	2	4
144	если бы	2	4
145	вообще не	3	4
146	с этой	6	4
147	в известной	3	4
148	к тому	8	4
149	друг с	3	4
150	в другой	2	4
151	из них	3	4
152	в некоторых	2	4
153	данном случае	2	3
154	как это	4	3
155	притом в	2	3
156	между собой	2	3
157	отметить что	3	3
158	именно к	2	3
159	было бы	8	3
160	ведь и	2	3
161	и то	2	3
162	или иного	4	3
163	того или	4	3
164	как оно	2	3
165	от этого	5	3
166	дело в	3	3
167	этот процесс	2	3
168	во второй	3	3
169	тем что	3	3
170	жизни в	3	3
171	такой же	2	3
172	не есть	2	3
173	в этой	2	3
174	потому что	3	3
175	целый ряд	2	3
176	в эту	2	3
177	в стороне	3	3
178	и тем	3	3
179	чем в	4	3
180	и отчасти	2	2
181	во все	3	2
182	из всех	3	2
183	в идеологическом	2	2
184	можно утверждать	2	2
185	или поздно	2	2
186	и существенно	2	2
187	по своей	2	2
188	есть не	2	2
189	но по	2	2
190	есть в	2	2
191	то что	6	2
192	по своему	7	2
193	в прошлом	3	2
194	что все	2	2
195	рано или	2	2
196	к ним	3	2
197	не из	3	2
198	в сторону	2	2
199	дело идет	2	2
200	наблюдения над	2	2
201	этой точки	5	2
202	между ними	2	2
203	и та	2	2
204	в известном	3	2
205	в органическом	2	2
206	на них	2	2
207	место в	3	2
208	для них	2	2
209	в ее	8	2
210	мы видим	2	2
211	во всей	2	2
212	известном смысле	3	2
213	меньше чем	2	2
214	то в	4	2
215	утверждать что	2	2
216	независимо от	4	2
217	и что	2	2
218	время в	3	2
219	можно было	3	2
220	и эта	2	2
221	не нужно	2	2
222	их из	2	2
223	же в	2	2
224	в области	11	2
225	мира в	4	2
226	ни было	4	2
227	а именно	2	2
228	и со	3	2
229	в течение	5	2
230	к ней	4	2
231	мы можем	3	2
232	в какой	2	2
233	не можем	2	2
234	заключается в	2	2
235	культуры и	2	2
236	на то	6	2
237	новое слово	3	2
238	столь же	5	2
239	в котором	2	2
240	в своих	2	2
241	в последние	6	2
242	в сфере	3	2
243	главным образом	2	2
244	во власти	2	2
245	ее от	2	2
246	на язык	2	2
247	несмотря на	4	2
248	поскольку она	2	2
249	в направлении	4	2
250	и только	3	2
251	не к	2	2
