N	2gram	Berdyaev_N	Psycholo
1	то что	4	193
2	и в	16	190
3	в том	8	163
4	что в	9	123
5	потому что	4	114
6	том что	2	113
7	и что	2	108
8	может быть	7	107
9	в этом	7	100
10	все время	2	86
11	того чтобы	2	78
12	не только	5	75
13	и не	11	73
14	что она	2	71
15	не может	16	68
16	так же	2	63
17	и мы	4	54
18	о том	4	54
19	как и	7	51
20	а не	17	50
21	сказать что	3	46
22	к тому	3	45
23	не в	6	45
24	никогда не	6	42
25	и все	4	42
26	вместе с	2	41
27	как это	2	40
28	но и	3	40
29	и это	2	37
30	с тем	3	35
31	что все	2	33
32	все это	5	32
33	в себе	2	32
34	в ней	5	31
35	мы не	2	31
36	он не	8	31
37	как будто	2	30
38	как в	3	30
39	с одной	2	29
40	и для	4	29
41	одной стороны	2	29
42	в нем	5	29
43	в основе	3	27
44	с другой	3	27
45	а в	2	27
46	и на	2	27
47	жизни и	8	25
48	для этого	2	23
49	могут быть	2	23
50	и даже	2	22
51	когда мы	2	22
52	с этим	2	22
53	в своей	3	21
54	том чтобы	2	21
55	ни в	6	21
56	она не	3	20
57	все эти	2	20
58	в то	2	20
59	это не	4	20
60	другой стороны	2	20
61	в ее	3	19
62	у него	2	19
63	но в	2	18
64	но не	2	18
65	можно было	2	18
66	и есть	10	18
67	одна из	2	17
68	но это	6	17
69	время как	2	17
70	так и	2	16
71	не имеет	4	16
72	тому как	3	16
73	и к	5	16
74	же как	2	16
75	формы и	2	16
76	и потому	4	15
77	еще не	3	15
78	в них	4	15
79	во всех	3	15
80	должна быть	3	14
81	хотя бы	2	14
82	по существу	2	14
83	это и	2	14
84	прежде всего	4	14
85	это есть	7	14
86	такой же	2	14
87	в жизни	5	14
88	не могли	2	13
89	не менее	4	12
90	я не	2	12
91	и с	2	12
92	подобно тому	3	11
93	и заключается	2	11
94	не будет	7	11
95	ли это	2	11
96	думать что	2	11
97	с его	6	11
98	есть в	2	11
99	не было	4	11
100	конечно не	3	11
101	том и	2	10
102	это было	3	10
103	совсем не	12	10
104	должно быть	4	10
105	и от	2	10
106	вопрос о	3	9
107	не есть	3	9
108	должен быть	5	9
109	роль в	2	9
110	по своему	4	9
111	с ее	5	9
112	не к	2	9
113	наряду с	3	8
114	место в	2	8
115	этом смысле	2	8
116	для чего	2	7
117	что такое	3	7
118	к ним	3	7
119	мысли и	2	7
120	времени и	2	7
121	не существует	3	7
122	к жизни	3	7
123	не могла	2	6
124	в обществе	2	6
125	за пределы	3	6
126	как не	8	6
127	смысле слова	3	6
128	значит что	4	6
129	уже не	2	6
130	в русском	2	6
131	не имеют	2	5
132	человека и	3	5
133	мысли в	2	5
134	в одну	2	5
135	все они	2	5
136	не знает	6	5
137	и было	2	5
138	зависит от	2	5
139	хотя и	2	5
140	но она	2	5
141	себя в	2	5
142	не значит	3	5
143	силы и	2	5
144	нет и	2	5
145	в смысле	2	5
146	ни одна	2	5
147	высшей степени	6	4
148	и формы	2	4
149	из ее	2	4
150	в истории	3	4
151	который в	2	4
152	мы говорим	2	4
153	которую она	2	4
154	но для	2	4
155	вот почему	2	4
156	в мире	3	4
157	заключается что	2	4
158	перейти к	3	4
159	можно назвать	2	4
160	сильнее и	2	3
161	в новой	7	3
162	стремление к	2	3
163	связаны с	2	3
164	в центре	2	3
165	и должно	2	3
166	нем нет	2	3
167	в наши	3	3
168	ни к	2	3
169	такого рода	2	3
170	в наше	3	3
171	переходе от	2	3
172	равно как	2	3
173	быть может	4	3
174	на гибель	2	3
175	быть в	2	3
176	к самой	2	3
177	связана с	2	3
178	наше время	4	3
179	в высшей	6	3
180	жизни в	3	2
181	должно было	2	2
182	к более	2	2
183	к ее	3	2
184	общественной жизни	6	2
185	ведь и	2	2
186	от всякого	2	2
187	времени в	2	2
188	я уже	2	2
189	к созданию	2	2
190	есть лишь	4	2
191	жизни как	2	2
192	к содержанию	2	2
193	люди не	2	2
194	не хотим	2	2
195	в будущем	2	2
196	перейти от	3	2
197	в россии	3	2
198	не означает	3	2
199	переход к	2	2
200	на протяжении	2	2
201	к новому	7	2
202	растет и	3	2
203	жизни не	3	2
