N	2gram	Tiupa_Disk	Russkaja
1	не может	17	22
2	и не	25	19
3	в том	29	17
4	в этом	29	17
5	и в	27	14
6	то что	10	13
7	точки зрения	6	11
8	то же	12	11
9	таким образом	4	11
10	в то	8	10
11	но и	22	10
12	же время	9	10
13	не только	36	9
14	том что	27	9
15	может быть	29	9
16	в себе	22	9
17	с точки	3	9
18	во всяком	3	9
19	прежде всего	17	8
20	и с	2	7
21	к тому	6	7
22	о том	12	7
23	в данном	9	7
24	отнюдь не	11	7
25	ни к	11	7
26	самом деле	2	7
27	если в	2	6
28	для всех	2	6
29	в своих	6	6
30	и к	4	6
31	всяком случае	2	6
32	все это	2	6
33	что он	6	6
34	в своем	11	6
35	для него	9	6
36	вопрос о	2	5
37	или иной	8	5
38	а в	5	5
39	хотя бы	3	5
40	между собой	2	5
41	и на	8	5
42	потому что	7	5
43	при этом	22	5
44	в нем	16	5
45	жизни в	4	5
46	в своей	10	5
47	себя и	2	5
48	только в	9	5
49	никогда не	3	5
50	он не	4	5
51	между тем	5	5
52	во всех	6	5
53	и то	4	4
54	что в	8	4
55	но не	17	4
56	все же	8	4
57	себя в	8	4
58	не могут	2	4
59	не в	8	4
60	как и	27	4
61	более или	2	4
62	в мире	9	4
63	как бы	9	4
64	приводит к	4	4
65	что же	4	4
66	и т.д	5	4
67	жизни и	2	4
68	в его	9	4
69	со стороны	17	4
70	в их	5	4
71	во всем	2	4
72	в этой	5	4
73	вместе с	3	4
74	или менее	2	4
75	одной из	4	3
76	данном случае	6	3
77	да и	2	3
78	том чтобы	2	3
79	о котором	2	3
80	в большинстве	3	3
81	точке зрения	2	3
82	этом случае	3	3
83	на том	2	3
84	именно в	5	3
85	из этих	3	3
86	должно быть	2	3
87	не есть	3	3
88	и потому	3	3
89	в другом	5	3
90	в значительной	3	3
91	из них	6	3
92	в самом	4	3
93	и как	9	3
94	что и	5	3
95	или в	2	3
96	сводится к	7	3
97	лишь в	4	3
98	он сам	2	3
99	и во	2	3
100	говорить о	3	3
101	той или	6	3
102	и по	2	3
103	связи с	4	3
104	еще не	20	3
105	того что	4	3
106	в качестве	45	3
107	друг друга	2	3
108	не было	9	3
109	при котором	2	3
110	тем что	4	3
111	не о	2	2
112	и о	4	2
113	и должно	2	2
114	и от	2	2
115	не к	3	2
116	но она	3	2
117	с этим	3	2
118	тем самым	6	2
119	или иного	2	2
120	большинстве случаев	2	2
121	для себя	6	2
122	указывает на	2	2
123	но в	15	2
124	того или	3	2
125	не подлежит	2	2
126	ни в	7	2
127	в котором	7	2
128	их в	2	2
129	на себя	2	2
130	на почве	3	2
131	в начале	2	2
132	это в	4	2
133	состоит в	20	2
134	в ней	2	2
135	уже не	7	2
136	в результате	3	2
137	по отношению	13	2
138	но для	2	2
139	этот человек	2	2
140	к такому	2	2
141	отличается от	3	2
142	в силу	5	2
143	и даже	4	2
144	а не	35	2
145	по себе	3	2
146	целый ряд	2	2
147	речь идет	2	2
148	место в	2	2
149	к себе	2	2
150	зависит от	2	2
151	проявляется в	2	2
152	в меру	2	2
153	принадлежат к	3	2
154	и тем	2	2
155	к чему	2	2
156	тогда как	28	2
157	и что	2	2
158	но это	3	2
159	что с	2	2
160	все эти	2	2
161	и наконец	2	2
162	а с	8	2
163	является не	2	2
164	в этих	4	2
165	только на	2	2
166	в частности	18	2
167	и есть	2	2
168	как будто	3	2
169	должна быть	2	2
170	отношения к	2	2
171	в области	3	2
172	быть и	2	2
173	к данному	3	2
174	к той	4	2
175	при отсутствии	2	2
176	и состоит	2	2
