N	2gram	Tiupa_Narr	Otkroven
1	у него	13	22
2	и в	22	19
3	но и	39	13
4	и не	34	13
5	в этом	23	12
6	не только	50	11
7	человека в	2	11
8	не в	12	11
9	а не	27	11
10	может быть	24	11
11	и все	7	10
12	в нем	9	10
13	никогда не	8	9
14	потому что	7	9
15	в человеке	2	9
16	не было	3	9
17	прежде всего	7	9
18	и он	8	8
19	лишь в	3	7
20	в его	12	7
21	до конца	2	7
22	он не	8	7
23	но он	2	7
24	как и	15	6
25	для него	8	5
26	а в	19	5
27	в том	20	5
28	о его	3	5
29	достоевского и	2	5
30	в самом	8	5
31	то что	14	5
32	в этой	8	5
33	человеке в	2	5
34	отношение к	2	5
35	и его	12	4
36	что в	6	4
37	он сам	4	4
38	того чтобы	7	4
39	все эти	3	4
40	человек и	2	4
41	в самую	2	4
42	человеческих отношений	2	4
43	не может	16	4
44	что не	2	4
45	с его	6	4
46	в себе	14	3
47	и от	3	3
48	о том	5	3
49	это не	6	3
50	к нему	5	3
51	что он	7	3
52	и вот	2	3
53	было бы	2	3
54	для того	4	3
55	еще не	6	3
56	все что	4	3
57	в этих	3	3
58	в своих	2	3
59	в русской	3	3
60	и ее	3	3
61	как бы	11	3
62	хотя бы	4	3
63	это было	3	3
64	с ним	6	3
65	это за	2	3
66	того что	7	3
67	как к	3	2
68	одно из	2	2
69	и то	3	2
70	сказать что	5	2
71	и на	5	2
72	и для	4	2
73	не имеет	3	2
74	ничего не	8	2
75	и с	3	2
76	что и	3	2
77	и потому	2	2
78	в ее	4	2
79	в других	2	2
80	в своем	7	2
81	но в	10	2
82	том что	15	2
83	все же	10	2
84	о которой	3	2
85	жизни в	7	2
86	в своей	8	2
87	по себе	4	2
88	что у	6	2
89	своей жизни	2	2
90	не все	2	2
91	и о	4	2
92	в душе	3	2
93	человека есть	2	2
94	к этому	2	2
95	и к	7	2
96	так и	12	2
97	в которой	2	2
98	к ней	3	2
99	хотя и	8	2
100	в другом	5	2
