N	2gram	Vygotskiy_	OGranits
1	и в	65	13
2	и его	8	12
3	прежде всего	2	9
4	и не	20	8
5	не может	17	8
6	может быть	33	8
7	в его	11	7
8	и их	2	7
9	точки зрения	19	7
10	не только	16	6
11	мы должны	3	6
12	как бы	29	6
13	таким образом	21	6
14	только в	9	6
15	то что	61	6
16	все же	10	5
17	с точки	11	5
18	и эта	3	5
19	и наконец	2	5
20	хотя бы	3	5
21	в музыке	2	5
22	художественного произведения	2	5
23	мы можем	12	4
24	еще и	2	4
25	но в	5	4
26	то же	17	4
27	но мы	4	4
28	тех пор	2	4
29	не является	2	4
30	в своей	6	4
31	материала в	3	4
32	все это	12	4
33	было бы	22	4
34	в двух	11	4
35	мы не	7	4
36	слов и	2	4
37	до тех	2	4
38	никогда не	9	3
39	одно и	4	3
40	и для	4	3
41	слово в	2	3
42	общего с	2	3
43	и то	10	3
44	со всей	3	3
45	и все	14	3
46	материала и	2	3
47	в ее	9	3
48	с этим	11	3
49	при анализе	2	3
50	и уже	5	3
51	как и	12	3
52	не в	12	3
53	в их	3	3
54	говорить о	3	3
55	ничего общего	3	3
56	так как	13	3
57	в себе	9	3
58	что в	36	3
59	поэтического произведения	2	3
60	самом деле	33	3
61	пор пока	2	3
62	так и	3	3
63	что же	3	3
64	в которой	8	3
65	в одном	9	3
66	в искусстве	2	3
67	здесь мы	6	3
68	но и	6	3
69	в самом	41	2
70	мы видим	15	2
71	конечно в	3	2
72	в этом	37	2
73	в них	4	2
74	данном случае	5	2
75	кажется что	2	2
76	в том	46	2
77	тем что	7	2
78	есть не	2	2
79	несмотря на	7	2
80	в целом	8	2
81	если бы	22	2
82	от этого	4	2
83	думать что	3	2
84	с одной	7	2
85	не имеет	8	2
86	или иного	2	2
87	роль в	2	2
88	но так	2	2
89	ее в	7	2
90	в действительности	3	2
91	с другой	8	2
92	там где	7	2
93	слова и	3	2
94	а в	9	2
95	и тем	4	2
96	том что	28	2
97	того или	2	2
98	и к	5	2
99	этот материал	2	2
100	с историей	2	2
101	в данном	5	2
102	в общем	4	2
103	и следовательно	2	2
104	все эти	7	2
105	художественное произведение	2	2
106	что эта	8	2
107	так же	12	2
108	от своего	2	2
109	что они	9	2
110	мы уже	12	2
111	те же	2	2
112	с этой	5	2
113	и может	5	2
114	в своих	6	2
115	в полном	4	2
116	в нем	8	2
117	в тех	5	2
118	при этом	10	2
119	и ее	4	2
120	а не	11	2
121	во всей	3	2
122	в ней	23	2
123	вслед за	4	2
124	себе что	2	2
125	на две	3	2
126	в течение	5	2
127	как в	8	2
128	другой стороны	5	2
129	во всем	2	2
130	который мы	4	2
131	одной стороны	6	2
132	бы в	3	2
133	между тем	10	2
134	мы получим	4	2
135	и этот	6	2
136	в чем	3	2
137	которое мы	4	2
138	имеет место	2	2
139	тот же	5	2
140	ни одно	2	2
141	в другом	6	2
142	самого начала	10	2
143	вовсе не	11	2
144	материалом для	2	2
145	с самого	10	2
146	к анализу	2	2
147	к тому	18	2
148	не мог	4	2
149	в которую	3	2
150	для него	4	2
