N	3gram	Propp_Russ	Istorich
1	и т д	12	142
2	в этом случае	9	29
3	так же как	5	27
4	в том что	27	25
5	тем не менее	3	23
6	вместе с тем	10	23
7	но все же	2	23
8	о том что	6	22
9	здесь мы имеем	2	17
10	в связи с	4	17
11	после того как	3	15
12	в данном случае	7	15
13	мы уже знаем	2	15
14	на то что	2	14
15	мы увидим ниже	2	13
16	в то время	3	13
17	мы не будем	4	12
18	в тех случаях	2	11
19	что иное как	3	11
20	т е в	6	11
21	не что иное	3	11
22	можно было бы	2	10
23	тех случаях когда	2	10
24	же как и	3	9
25	как мы увидим	5	9
26	д к зеленин	8	9
27	но вместе с	3	8
28	приводит нас к	3	8
29	подобно тому как	3	8
30	в большинстве случаев	2	7
31	можно предположить что	2	7
32	потому что он	2	7
33	но тем не	2	6
34	но это не	3	6
35	мы должны будем	2	6
36	так как в	2	6
37	все же не	2	6
38	мы не можем	5	6
39	не будем здесь	2	6
40	и в других	7	6
41	для наших целей	2	5
42	для того чтобы	6	5
43	в других случаях	2	5
44	так как это	2	5
45	это не совсем	2	5
46	в отличие от	4	5
47	том что в	7	5
48	в том чтобы	2	5
49	иметь в виду	2	4
50	в лесу в	2	4
51	к этому же	3	4
52	в это время	3	4
53	речь будет ниже	2	4
54	состоит в том	16	4
55	в лесу или	3	4
56	а иногда и	4	4
57	с точки зрения	3	4
58	когда мы рассмотрим	2	4
59	это показывает что	4	4
60	не только на	3	4
61	только тогда когда	3	3
62	каждый из этих	2	3
63	и многие другие	2	3
64	есть и другие	2	3
65	стоит в связи	2	3
66	если предположить что	2	3
67	но и на	2	3
68	не только по	2	3
69	в воду и	2	3
70	по этому поводу	3	3
71	один из них	3	3
72	к тому что	4	3
73	в некоторых местах	5	3
74	для нас не	2	3
75	что в этом	2	3
76	приводят нас к	2	2
77	может быть и	3	2
78	не значит что	2	2
79	и в том	2	2
80	они представляют собой	2	2
81	на другой день	2	2
82	как уже указывалось	5	2
83	и связанные с	2	2
84	и потому что	2	2
85	в эту ночь	3	2
86	это не значит	2	2
87	для этой цели	2	2
88	на самом же	2	2
89	т е на	2	2
90	самом же деле	2	2
91	выводы можно сделать	2	2
92	можно сделать из	2	2
93	все это показывает	4	2
94	что такие представления	2	2
95	нам право на	2	2
96	лесу или в	2	2
97	совершенно очевидно что	2	2
98	как и другие	4	2
99	в приведенных материалах	2	2
100	и других животных	2	2
101	не только у	2	2
102	в других местах	9	2
103	во многих случаях	4	2
104	в свою очередь	2	2
105	в виду что	2	2
106	во многих местах	3	2
107	так как они	2	2
108	чтобы лучше понять	2	2
