N	2gram	Potebnia_M	TeoriaLi
1	в мире	3	26
2	не только	32	24
3	и в	58	24
4	то есть	69	22
5	может быть	47	22
6	в том	38	20
7	при этом	17	20
8	тогда как	10	18
9	и не	34	17
10	а в	11	15
11	но и	26	14
12	так и	17	14
13	а не	38	14
14	в себе	22	14
15	но не	19	13
16	в этом	18	12
17	то же	13	12
18	но в	12	12
19	в его	7	12
20	том что	21	11
21	точки зрения	8	11
22	и его	7	11
23	по отношению	15	10
24	лишь в	2	10
25	отношению к	13	10
26	что в	34	10
27	не в	23	9
28	в душе	28	9
29	с другой	13	9
30	в то	6	9
31	только в	36	9
32	не может	30	8
33	по своей	2	8
34	как бы	12	8
35	в своей	3	8
36	же время	4	8
37	в своем	3	7
38	в самом	5	7
39	однако в	4	7
40	место в	3	7
41	не столько	3	7
42	в нем	26	7
43	тем самым	6	6
44	другой стороны	7	6
45	со стороны	11	6
46	не менее	10	6
47	еще не	9	6
48	то что	24	6
49	или менее	6	6
50	как и	16	6
51	более или	6	6
52	с другими	3	6
53	уже не	4	6
54	между ними	2	6
55	в ее	2	6
56	с его	3	6
57	а и	5	5
58	как в	18	5
59	ни в	2	5
60	в виду	2	5
61	и тем	5	5
62	для того	8	5
63	и о	3	5
64	для него	13	5
65	между тем	7	5
66	могут быть	17	5
67	деятельности в	2	5
68	того чтобы	4	5
69	того что	15	5
70	он не	4	5
71	в себя	2	5
72	никогда не	7	4
73	сказать что	5	4
74	его в	3	4
75	это не	10	4
76	так в	4	4
77	в другом	3	4
78	этого слова	5	4
79	субъекта и	4	4
80	в их	3	4
81	одного и	6	4
82	в этих	10	4
83	что он	5	4
84	далеко не	4	4
85	к тому	5	4
86	речи и	11	4
87	а только	8	4
88	того же	13	4
89	слова в	7	4
90	в свою	8	4
91	в целом	3	4
92	и того	6	4
93	и что	13	4
94	языка в	6	4
95	или даже	3	4
96	не на	3	4
97	с ее	2	4
98	не следует	6	4
99	отношения к	2	4
100	в нашем	2	4
101	в слове	21	4
102	хотя и	6	4
103	но он	3	4
104	и то	4	3
105	и притом	6	3
106	и потому	7	3
107	во всех	12	3
108	понятие о	2	3
109	из этих	8	3
110	одной стороны	6	3
111	в которой	5	3
112	не все	3	3
113	в противоположность	2	3
114	и для	8	3
115	тем не	11	3
116	и как	11	3
117	говоря о	3	3
118	если бы	23	3
119	к которому	5	3
120	или в	4	3
121	он должен	2	3
122	подобно тому	7	3
123	свою очередь	8	3
124	в таком	7	3
125	одним из	2	3
126	с этой	3	3
127	на две	2	3
128	была бы	3	3
129	никто не	3	3
130	с одной	7	3
131	не с	2	3
132	есть в	4	3
133	в жизни	5	3
134	для себя	4	3
135	столь же	6	3
136	их в	2	3
137	именно в	2	3
138	потому что	89	3
139	с языком	2	3
140	тому как	8	3
141	что можно	3	3
142	во втором	6	3
143	прежде всего	8	3
144	этом смысле	4	3
145	только не	2	3
146	из которого	3	3
147	мог бы	5	3
148	от себя	2	3
149	не будет	2	3
150	с точки	4	3
151	а на	2	3
152	все эти	3	3
153	и по	8	3
154	связи с	6	3
155	в связи	2	3
156	таким образом	21	3
157	например в	4	3
158	в этой	3	3
159	имеет место	4	3
160	в одном	13	3
161	вовсе не	13	3
162	вслед за	2	3
163	может служить	2	2
164	в каком	7	2
165	чтобы не	3	2
166	ключ к	2	2
167	но она	3	2
168	к одному	3	2
169	в основании	3	2
170	не могли	2	2
171	не от	4	2
172	могла бы	5	2
173	не могут	10	2
174	значительной степени	3	2
175	то в	6	2
176	для всех	6	2
177	слова не	2	2
178	существования в	2	2
179	для меня	4	2
180	так же	7	2
181	если в	3	2
182	сознания в	2	2
183	но как	4	2
184	тем более	2	2
185	у и	2	2
186	не всегда	2	2
187	человека и	2	2
188	ни был	2	2
189	дело в	3	2
190	что она	3	2
191	за пределы	4	2
192	это было	3	2
193	но на	3	2
194	и даже	4	2
195	не ограничивается	3	2
196	сама по	4	2
197	на деле	6	2
198	противном случае	3	2
199	таком случае	4	2
200	но во	3	2
201	превращается в	2	2
202	времени и	3	2
203	от своего	2	2
204	ни было	4	2
205	у нас	3	2
206	только на	4	2
207	в формах	3	2
208	у него	3	2
209	самом деле	2	2
210	на вопрос	3	2
211	в чем	6	2
212	вместе с	12	2
213	в одно	5	2
214	не могло	3	2
215	в какой	2	2
216	жизни но	2	2
217	вытекает из	3	2
218	к нему	2	2
219	ни для	2	2
220	к нам	3	2
221	и это	3	2
222	тому что	4	2
223	о том	6	2
224	зрения и	7	2
225	в самой	5	2
226	что такое	3	2
227	могли бы	4	2
228	есть как	2	2
229	мы легко	2	2
230	если мы	5	2
231	образом и	2	2
232	оно не	4	2
233	должен быть	2	2
234	и на	8	2
235	этой точки	2	2
236	на этом	3	2
237	для обозначения	2	2
238	в известном	2	2
239	один из	2	2
240	собственно говоря	2	2
241	внешнего мира	3	2
242	в них	7	2
243	по себе	24	2
244	тем в	2	2
245	несмотря на	5	2
246	здесь не	2	2
247	мы в	2	2
248	что и	16	2
249	духовной жизни	2	2
250	к другому	2	2
251	с ними	2	2
252	быть названо	5	2
253	о его	2	2
254	в противном	3	2
255	и наоборот	10	2
256	во внутренней	3	2
257	то ни	3	2
258	имеет дело	2	2
259	себя и	3	2
260	заключается в	3	2
261	все это	3	2
262	только о	2	2
263	что они	6	2
264	как будто	2	2
265	в первом	5	2
266	из виду	2	2
267	бы то	2	2
268	при котором	3	2
269	тем же	4	2
