N	2gram	Voloshinov	Dialekti
1	не есть	2	181
2	и не	10	120
3	по себе	3	79
4	а не	5	78
5	и в	12	77
6	точки зрения	14	72
7	может быть	14	71
8	не только	4	66
9	то что	5	59
10	ничего не	2	54
11	не может	16	53
12	так как	9	46
13	с точки	2	46
14	как бы	13	43
15	ни в	3	42
16	и что	2	42
17	в том	6	40
18	в этом	4	39
19	то же	5	39
20	в себе	3	38
21	том что	5	37
22	прежде всего	8	37
23	это не	2	36
24	что в	2	34
25	в нем	6	34
26	и все	2	33
27	того что	3	33
28	но и	3	32
29	все это	3	31
30	ясно что	3	31
31	отнюдь не	5	30
32	сказать что	7	30
33	так и	4	29
34	как и	5	28
35	никогда не	5	27
36	в виду	5	26
37	не в	4	26
38	и то	2	25
39	и пр	3	25
40	если бы	9	24
41	но это	2	24
42	в то	2	23
43	таким образом	12	23
44	но что	2	22
45	она не	2	21
46	что не	4	21
47	должна быть	5	21
48	в чем	2	21
49	допустим что	2	21
50	в каком	3	20
51	только в	6	20
52	и вообще	3	20
53	что и	2	20
54	о том	3	20
55	уже не	4	20
56	и с	3	20
57	и притом	2	19
58	как же	2	19
59	в своем	2	19
60	что мы	5	19
61	как это	2	19
62	не менее	3	19
63	тогда когда	2	19
64	в самом	4	19
65	и его	13	19
66	с другой	4	18
67	хотя бы	5	18
68	ни на	2	18
69	жизни и	4	18
70	можно сказать	5	17
71	в особенности	2	17
72	в своей	3	16
73	мы не	3	16
74	нет ничего	2	16
75	кроме того	2	16
76	или не	3	16
77	к нему	4	16
78	да и	3	16
79	одно и	2	16
80	тем не	3	16
81	конечно не	3	16
82	быть и	3	15
83	все же	4	15
84	так же	3	15
85	самом деле	3	15
86	и потому	2	14
87	и ее	3	14
88	с ним	3	14
89	и следовательно	5	13
90	но в	5	13
91	в ней	6	13
92	и та	2	13
93	он не	2	13
94	другой стороны	2	13
95	и к	4	13
96	могут быть	2	12
97	еще не	3	12
98	все эти	3	12
99	но не	2	12
100	от того	4	11
101	только на	3	11
102	в них	3	11
103	в данном	2	11
104	мы имеем	2	11
105	как только	2	11
106	в душе	2	10
107	в его	2	10
108	за пределы	4	10
109	с этой	2	10
110	и для	3	10
111	оно не	2	10
112	если же	2	10
113	и уже	3	10
114	в жизни	5	10
115	смысл и	2	9
116	общего с	2	9
117	точка зрения	3	9
118	и по	3	9
119	в этих	2	9
120	и более	3	9
121	в котором	3	9
122	была бы	2	9
123	при этом	6	9
124	мы можем	2	9
125	и на	4	9
126	на самом	4	8
127	в отношении	2	8
128	все время	6	8
129	с одной	2	8
130	но все	2	8
131	вещи и	2	8
132	в поэзии	3	8
133	как не	2	8
134	он должен	3	7
135	его как	2	7
136	нуждается в	3	7
137	с его	2	7
138	зависимости от	4	7
139	как в	5	7
140	но для	3	7
141	то ни	3	7
142	как на	2	7
143	отношение к	4	6
144	это как	3	6
145	в зависимости	2	6
146	себя и	2	6
147	быть только	2	6
148	в себя	2	6
149	вместе с	2	6
150	его в	4	6
151	одной стороны	2	6
152	этой точки	3	6
153	и совершенно	2	6
154	стороны и	2	6
155	для него	3	6
156	уже в	2	6
157	но мы	2	5
158	точку зрения	2	5
159	и наконец	3	5
160	сих пор	3	5
161	едва ли	2	5
162	когда он	3	5
163	есть уже	2	5
164	из этого	3	5
165	независимо от	2	5
166	к этому	2	5
167	отношении к	3	5
168	тому же	2	5
169	и так	2	5
170	зависит от	2	5
171	можем сказать	2	5
172	до сих	3	5
173	данном случае	2	4
174	бы мы	3	4
175	ведь и	3	4
176	на все	2	4
177	бы то	3	4
178	к ним	2	4
179	такой же	2	4
180	и является	4	4
181	точек зрения	3	4
182	и здесь	2	4
183	же самое	2	4
184	для нас	7	3
185	этой стороны	2	3
186	не так	2	3
187	место в	2	3
188	здесь не	3	3
189	на него	2	3
190	все они	2	3
191	не должна	3	3
192	в корне	2	3
193	с другими	2	3
194	бы не	2	3
195	ни было	4	3
196	поэтическое произведение	5	3
197	в какой	2	3
198	не к	3	3
199	возможна только	2	3
200	форму и	2	3
201	мы в	2	3
202	в некоторых	3	3
203	можно найти	2	3
204	между тем	3	3
205	ее и	3	2
206	ясность и	2	2
207	еще раз	2	2
208	как к	3	2
209	мы никогда	2	2
210	рождается из	2	2
211	и др	5	2
212	те же	2	2
213	в процессе	6	2
214	относится к	2	2
215	но зато	2	2
216	за его	2	2
217	дело в	4	2
218	и слово	2	2
219	бы даже	2	2
220	слова и	6	2
221	в условиях	2	2
222	но тем	2	2
223	искусства и	2	2
224	в такой	3	2
225	имеем в	2	2
226	из него	2	2
227	в нашем	11	2
228	произведение и	2	2
229	которые мы	2	2
230	слово в	3	2
231	не остается	2	2
232	и проч	3	2
233	но конечно	2	2
234	от этой	2	2
235	между ними	2	2
236	эта последняя	2	2
237	там где	2	2
238	имеет место	2	2
239	самое слово	2	2
240	на это	2	2
241	перестает быть	2	2
242	художественное произведение	3	2
243	к его	2	2
244	ко всем	2	2
245	совпадает с	2	2
246	по природе	2	2
247	мы все	4	2
248	этих двух	2	2
