N	2gram	Tiupa_Lite	Psycholo
1	то что	14	193
2	и в	26	190
3	в том	22	163
4	что в	7	123
5	потому что	5	114
6	том что	19	113
7	и что	2	108
8	может быть	24	107
9	таким образом	4	102
10	в этом	19	100
11	то есть	11	97
12	в самом	4	82
13	как бы	8	80
14	для того	2	78
15	что он	8	76
16	не только	29	75
17	на то	2	73
18	и не	19	73
19	самом деле	2	70
20	и т	2	69
21	точки зрения	8	69
22	не может	10	68
23	так как	2	63
24	было бы	4	56
25	и мы	2	54
26	то же	13	54
27	о том	3	54
28	при этом	23	52
29	как и	13	51
30	что и	3	50
31	а не	28	50
32	только в	8	46
33	в сущности	5	46
34	в искусстве	4	45
35	к тому	3	45
36	не в	11	45
37	в этой	7	43
38	искусства и	6	43
39	никогда не	5	42
40	вместе с	5	41
41	как это	9	40
42	но и	25	40
43	как раз	6	39
44	того что	7	39
45	т п	2	38
46	и как	2	36
47	с тем	2	35
48	вовсе не	3	34
49	и его	7	34
50	как на	3	34
51	все же	6	33
52	в себе	8	32
53	в ней	4	31
54	мы не	5	31
55	в его	9	31
56	он не	4	31
57	для нас	3	31
58	никак не	2	30
59	как будто	2	30
60	как в	5	30
61	с одной	9	29
62	искусства в	2	29
63	с точки	4	29
64	одной стороны	8	29
65	в нем	4	29
66	и то	3	28
67	в основе	5	27
68	с другой	11	27
69	в своих	5	27
70	а в	5	27
71	все то	2	27
72	и на	5	27
73	так что	4	26
74	произведение искусства	8	26
75	жизни и	6	25
76	до конца	3	24
77	в целом	10	24
78	художественное произведение	2	24
79	тем что	6	24
80	в своем	12	23
81	для этого	5	23
82	из этого	2	23
83	могут быть	4	23
84	один из	7	23
85	и даже	9	22
86	казалось бы	6	22
87	между тем	2	22
88	из них	5	22
89	в своей	5	21
90	как мы	2	21
91	и вот	2	21
92	в конце	6	21
93	но только	3	21
94	той же	5	21
95	и только	4	21
96	все эти	2	20
97	в то	12	20
98	это не	4	20
99	несмотря на	3	20
100	мы имеем	2	20
101	другой стороны	5	20
102	на этом	3	20
103	он говорит	2	19
104	в какой	2	19
105	у него	5	19
106	в одном	2	19
107	но в	5	18
108	но не	8	18
109	с этой	6	18
110	есть не	2	18
111	можно было	3	18
112	и есть	3	18
113	в виду	4	17
114	одна из	8	17
115	иначе говоря	2	17
116	что для	2	17
117	во всяком	3	17
118	у нас	5	17
119	из этих	2	17
120	но это	2	17
121	так и	7	16
122	та же	2	16
123	не имеет	2	16
124	тому как	4	16
125	сводится к	4	16
126	и тем	4	16
127	из которых	3	16
128	же как	3	16
129	то это	2	16
130	к этому	2	16
131	искусства как	2	15
132	еще не	4	15
133	далеко не	4	15
134	только на	3	15
135	в частности	18	15
136	во всех	4	15
137	в результате	2	15
138	для него	6	15
139	не можем	2	15
140	не просто	2	15
141	очевидно что	2	14
142	должна быть	3	14
143	в художественном	6	14
144	хотя бы	3	14
145	столь же	5	14
146	по существу	4	14
147	с ним	2	14
148	прежде всего	14	14
149	в области	5	14
150	этом отношении	5	14
151	такой же	3	14
152	в жизни	7	14
153	всяком случае	2	14
154	как он	2	13
155	а с	2	13
156	речь идет	3	13
157	отнюдь не	4	13
158	едва ли	5	13
159	со стороны	6	13
160	и он	3	13
161	идет о	4	12
162	состоит в	18	12
163	того же	5	12
164	в нашей	2	12
165	в этих	2	12
166	в свою	2	12
167	ничего не	3	12
168	не менее	11	12
169	этой точки	3	12
170	в поэзии	4	12
171	что не	3	12
172	например в	3	12
173	я не	8	12
174	что его	3	12
175	в конечном	9	12
176	и с	4	12
177	как к	4	11
178	отличие от	6	11
179	подобно тому	4	11
180	исходя из	3	11
181	поэзии и	3	11
182	исходит из	3	11
183	и других	4	11
184	его в	4	11
185	по поводу	2	11
186	с его	5	11
187	на это	2	11
188	конечном счете	8	11
189	уже в	7	11
190	не было	5	11
191	данном случае	6	10
192	от него	2	10
193	в другом	3	10
194	не является	3	10
195	но как	3	10
196	в их	3	10
197	в данном	7	10
198	мы в	3	10
199	тому же	2	10
200	бы не	3	9
201	тем самым	8	9
202	в силу	4	9
203	и говорит	2	9
204	ту же	4	9
205	то как	2	9
206	мысль о	2	9
207	каждого из	2	9
208	и наконец	2	9
209	не есть	2	9
210	должен быть	2	9
211	роль в	2	9
212	в действительности	2	9
213	в чем	2	9
214	по этому	2	9
215	из его	2	9
216	с ее	3	9
217	героя и	2	9
218	в отличие	6	9
219	не к	3	9
220	из того	3	8
221	себе и	2	8
222	как все	2	8
223	в сознании	3	8
224	жизни с	2	8
225	художественного творчества	3	8
226	тем же	5	8
227	относится к	3	8
228	только то	3	8
229	по преимуществу	6	8
230	со всей	2	8
231	произведения искусства	4	8
232	различие между	3	7
233	не как	4	7
234	себе не	2	7
235	свою очередь	2	7
236	от себя	2	7
237	одно из	3	7
238	в руках	2	7
239	для всех	5	7
240	связи с	7	7
241	дело в	3	7
242	себя и	3	7
243	что такое	2	7
244	все что	3	7
245	представляет собой	5	7
246	же в	6	7
247	в нашем	2	7
248	а как	2	7
249	в качестве	21	7
250	полагал что	2	7
251	но при	2	7
252	до тех	2	7
253	в особенности	2	7
254	со всеми	2	7
255	к этой	2	7
256	на том	3	7
257	слова в	2	7
258	к жизни	2	7
259	в каждом	2	7
260	в отношении	2	6
261	для нее	2	6
262	он же	2	6
263	а только	2	6
264	а потому	4	6
265	за пределы	3	6
266	первый раз	2	6
267	слова и	6	6
268	в стихах	8	6
269	тем не	4	6
270	в себя	5	6
271	на нее	2	6
272	от всех	2	6
273	даже в	6	6
274	нуждается в	3	6
275	каждый из	4	6
276	для понимания	2	6
277	тех пор	2	6
278	так в	6	6
279	в русской	13	6
280	от других	2	6
281	да и	3	6
282	то и	5	6
283	х годов	5	6
284	в первый	2	6
285	что есть	2	6
286	творческий акт	2	6
287	утверждал что	2	6
288	что я	4	6
289	уже не	9	6
290	приводит к	4	6
291	пор пока	2	6
292	одного из	4	5
293	еще и	3	5
294	все более	3	5
