N	2gram	Losev_Vlad	Analitik
1	не только	35	71
2	и в	56	66
3	в качестве	7	61
4	но и	26	57
5	в том	26	52
6	может быть	12	52
7	в частности	4	51
8	в этом	30	51
9	как и	7	50
10	и не	33	48
11	а не	5	42
12	том что	22	40
13	при этом	5	40
14	так и	11	35
15	то есть	5	35
16	не может	12	29
17	как бы	5	29
18	отнюдь не	3	29
19	а в	20	28
20	в его	18	27
21	и его	12	27
22	не в	12	26
23	но не	5	26
24	в себе	5	24
25	к тому	5	22
26	и даже	23	22
27	в этой	4	22
28	что в	24	22
29	лишь в	3	21
30	о том	13	20
31	я в	4	20
32	но в	19	19
33	в своей	7	19
34	то же	10	19
35	в самом	3	19
36	с его	15	19
37	в то	15	18
38	тем самым	2	17
39	с другой	3	17
40	со стороны	5	17
41	такого рода	4	17
42	в целом	3	17
43	только в	11	17
44	то что	30	16
45	что и	6	16
46	не есть	4	15
47	в их	2	15
48	прежде всего	5	15
49	в сущности	2	15
50	уже не	6	15
51	и на	7	15
52	не менее	9	14
53	того же	11	14
54	мы имеем	2	14
55	себя в	6	14
56	я и	2	14
57	же время	7	14
58	по себе	3	13
59	ничего не	4	13
60	точки зрения	4	13
61	в начале	7	13
62	как раз	7	13
63	для него	16	13
64	а также	12	13
65	он не	13	13
66	тому же	3	13
67	никогда не	15	12
68	и к	10	12
69	как это	11	12
70	произведения как	2	12
71	еще не	2	12
72	как в	6	12
73	и сам	7	12
74	даже в	4	11
75	в свою	3	11
76	это не	3	11
77	во второй	3	11
78	по своей	4	11
79	и как	7	11
80	можно сказать	10	11
81	той же	6	11
82	в той	2	11
83	в конце	22	10
84	едва ли	3	10
85	все же	11	10
86	в произведении	2	10
87	на себя	3	10
88	один из	4	10
89	было бы	7	10
90	и самого	2	10
91	особенно в	2	10
92	именно в	4	10
93	со своей	5	10
94	здесь не	6	10
95	отношения к	4	10
96	в своем	10	9
97	того что	6	9
98	не столько	4	9
99	как уже	2	9
100	свою очередь	2	9
101	по поводу	15	9
102	особого рода	2	9
103	другой стороны	3	9
104	за пределы	3	9
105	во всех	4	9
106	в результате	6	9
107	только не	2	9
108	что касается	6	9
109	том чтобы	4	9
110	таким образом	6	9
111	вместе с	9	9
112	о чем	6	8
113	что он	22	8
114	дело с	2	8
115	одной из	2	8
116	и все	8	8
117	этом отношении	2	8
118	хотя и	9	8
119	о его	7	8
120	дело не	3	8
121	если бы	2	8
122	как известно	2	8
123	он и	8	8
124	с ним	10	8
125	свое время	7	7
126	вплоть до	4	7
127	иное как	2	7
128	в новом	2	7
129	и тем	2	7
130	в году	54	7
131	в свое	6	7
132	место в	2	7
133	на его	7	7
134	все это	7	7
135	во всяком	8	7
136	несмотря на	7	7
137	как будто	2	7
138	что иное	2	7
139	и для	4	7
140	у него	28	7
141	или иначе	3	7
142	личности и	2	7
143	со своим	5	7
144	в одном	2	7
145	собственно говоря	4	7
146	всяком случае	8	7
147	как мы	17	7
148	времени в	2	7
149	в таком	2	7
150	в нашем	5	7
151	не мог	10	7
152	его в	3	6
153	для всех	2	6
154	что не	3	6
155	не что	2	6
156	от своего	2	6
157	те же	2	6
158	в нем	7	6
159	что на	2	6
160	в полной	3	6
161	ответ на	2	6
162	тем более	4	6
163	он был	20	6
164	и то	13	6
165	хотя бы	5	6
166	то в	6	6
167	из этих	5	6
168	его как	2	6
169	с самим	2	6
170	же в	3	6
171	во всем	4	6
172	тем не	8	6
173	так или	3	6
174	на этом	3	6
175	из них	3	6
176	уже в	9	6
177	по его	3	6
178	вовсе не	8	6
179	и потому	8	5
180	не могут	2	5
181	но как	6	5
182	жизни в	3	5
183	для себя	6	5
184	совершенно не	2	5
185	так что	13	5
186	на вопрос	2	5
187	а с	5	5
188	в общем	4	5
189	он в	4	5
190	а а	7	5
191	в них	5	5
192	и по	10	5
193	и до	4	5
194	все эти	6	5
195	мы не	2	5
196	того и	3	5
197	к числу	2	5
198	тот же	7	5
199	я не	8	5
200	и здесь	3	5
201	да и	6	5
202	к его	5	5
203	к этому	11	5
204	и он	7	5
205	в особенности	4	5
206	для того	4	5
207	в этих	5	5
208	тем что	2	5
209	еще и	10	5
210	ни с	6	5
211	ни в	4	5
212	в котором	10	5
213	все что	2	5
214	будто бы	2	5
215	еще в	5	5
216	что мы	2	5
217	к жизни	2	5
218	и особенно	6	5
219	в отношении	5	4
220	его к	3	4
221	а вот	3	4
222	в ответ	2	4
223	в области	3	4
224	наконец в	3	4
225	отношение к	7	4
226	как к	4	4
227	и а	2	4
228	одним из	3	4
229	в стихотворении	3	4
230	нам представляется	3	4
231	как он	4	4
232	как у	3	4
233	а именно	4	4
234	только на	3	4
235	его от	2	4
236	его и	2	4
237	о нем	9	4
238	и о	6	4
239	к нему	6	4
240	указывает на	2	4
241	и что	11	4
242	потому что	16	4
243	свидетельствует о	3	4
244	ему в	4	4
245	разного рода	8	4
246	из трех	3	4
247	в чем	4	4
248	его не	2	4
249	что же	11	4
250	здесь в	2	4
251	с ними	2	4
252	того чтобы	4	4
253	и во	3	4
254	воли и	2	4
255	то ни	2	4
256	известной степени	2	4
257	жизнь и	3	4
258	и т	3	4
259	так у	2	4
260	сказать что	14	4
261	и от	6	4
262	по своему	5	4
263	с этим	3	4
264	но это	6	4
265	что она	2	4
266	в которой	8	4
267	о своем	3	4
268	об этом	13	4
269	на него	3	4
270	мы уже	8	4
271	между ними	2	4
272	к а	4	4
273	в своих	7	4
274	и если	8	4
275	этом смысле	4	4
276	не было	12	4
277	это и	2	4
278	и есть	2	4
279	которые в	2	3
280	мы должны	3	3
281	от него	3	3
282	для нее	3	3
283	один и	2	3
284	не был	6	3
285	он же	2	3
286	говоря о	2	3
287	было сказано	2	3
288	теми же	2	3
289	которого он	2	3
290	тут же	7	3
291	и был	6	3
292	к своему	4	3
293	в момент	2	3
294	н и	4	3
295	и за	3	3
296	на котором	2	3
297	с тем	4	3
298	нам кажется	2	3
299	на первом	4	3
300	для своего	2	3
301	она не	3	3
302	к этой	4	3
303	тех пор	2	3
304	в ней	5	3
305	уже о	3	3
306	не говоря	4	3
307	только к	3	3
308	ли он	2	3
309	что все	2	3
310	пушкина и	2	3
311	в тех	3	3
312	связи с	7	3
313	и я	7	3
314	в связи	9	3
315	что они	4	3
316	во время	4	3
317	и больше	3	3
318	из его	6	3
319	бы то	2	3
320	никак не	6	3
321	тех же	3	3
322	так как	11	3
323	так сказать	2	3
324	хотя в	2	3
325	дело в	7	3
326	всех этих	3	3
327	о котором	2	3
328	о своих	2	3
329	это было	9	3
330	борьба с	2	3
331	и тот	2	3
332	и наконец	2	3
333	в жизни	4	3
334	с этой	4	3
335	себе не	2	3
336	где он	5	3
337	ни к	2	3
338	на этот	9	3
339	то он	7	3
340	человека с	2	3
341	также и	13	3
342	а то	2	3
343	что у	4	3
344	на свою	3	3
345	поскольку в	3	3
346	во сне	2	3
347	на меня	3	3
348	м и	7	3
349	на то	7	3
350	когда он	6	3
351	и с	27	3
352	если не	4	3
353	ко всему	4	3
354	раз и	4	3
355	то его	2	3
356	жизни и	8	3
357	он сам	3	3
358	из этого	6	3
359	пока еще	2	3
360	как на	2	3
361	только одно	4	3
362	не к	2	3
363	этих двух	2	3
364	и без	2	3
365	но он	7	3
366	начиная с	3	2
367	в доме	7	2
368	бы с	2	2
369	с теми	2	2
370	я его	3	2
371	но мы	3	2
372	об этих	3	2
373	так же	4	2
374	для нас	9	2
375	на эту	3	2
376	как было	2	2
377	бы мы	2	2
378	даже не	3	2
379	к себе	2	2
380	не могла	3	2
381	вера в	4	2
382	в следующем	3	2
383	он как	4	2
384	том же	4	2
385	и при	2	2
386	когда мы	2	2
387	своей жизни	5	2
388	более что	2	2
389	или менее	5	2
390	же касается	8	2
391	от нас	2	2
392	то о	2	2
393	образом в	2	2
394	отношением к	2	2
395	так например	3	2
396	любви к	2	2
397	на месте	2	2
398	как я	2	2
399	однако эта	2	2
400	более или	5	2
401	жизнь в	2	2
402	что этот	4	2
403	между прочим	18	2
404	просто не	2	2
405	и ту	2	2
406	по этому	3	2
407	и просто	3	2
408	на все	3	2
409	что даже	2	2
410	по одному	2	2
411	что с	3	2
412	как нечто	2	2
413	в нас	4	2
414	говоря уже	3	2
415	здесь мы	4	2
416	всех своих	2	2
417	уже и	4	2
418	некоторого рода	2	2
419	по существу	4	2
420	в которую	2	2
421	но эта	2	2
422	но зато	2	2
423	не столь	2	2
424	что это	2	2
425	из многочисленных	2	2
426	во многих	2	2
427	не будем	3	2
428	с этими	4	2
429	то и	3	2
430	церкви и	2	2
431	время в	4	2
432	не знаю	2	2
433	что во	2	2
434	но дело	2	2
435	на это	2	2
436	время и	3	2
437	до тех	2	2
438	именно здесь	2	2
439	в сравнении	2	2
440	касается самого	2	2
441	на первый	4	2
442	в статье	2	2
443	было не	2	2
444	это делает	3	2
445	и вот	5	2
446	должен был	3	2
447	человека как	3	2
448	судя по	2	2
449	у нас	11	2
450	не по	2	2
451	в течение	13	2
452	себя к	2	2
453	только его	2	2
454	нет и	2	2
455	не имеет	2	2
456	всей своей	2	2
457	в дальнейшем	10	2
458	это была	3	2
459	в церковь	2	2
460	их в	3	2
461	не вполне	3	2
462	же году	2	2
463	еще более	3	2
464	истории в	2	2
465	и стал	3	2
466	но я	4	2
467	и м	3	2
468	не могу	2	2
469	сравнении с	2	2
470	учение о	2	2
471	которой он	7	2
472	тем кто	2	2
473	мы и	4	2
474	которые и	2	2
475	взгляд на	4	2
476	них не	2	2
477	о которой	3	2
478	у меня	3	2
479	меня к	2	2
480	мы будем	4	2
481	знаю что	2	2
