N	2gram	Berdyaev_V	RusskieA
1	и в	16	79
2	в том	3	64
3	том что	2	59
4	что в	3	57
5	не только	2	41
6	так как	9	34
7	в этом	4	33
8	как бы	5	31
9	но и	5	31
10	как и	4	28
11	одна из	2	24
12	и т	2	23
13	т д	2	21
14	это не	2	20
15	а в	2	20
16	все это	5	18
17	с тем	2	17
18	потому что	4	17
19	то что	9	17
20	мы не	2	16
21	один из	2	15
22	для нас	2	14
23	в них	3	14
24	и не	20	14
25	и что	3	14
26	еще не	8	13
27	уже не	2	13
28	тем что	2	12
29	но это	3	11
30	не имеет	3	11
31	так и	4	10
32	между тем	2	10
33	что и	3	10
34	но в	3	9
35	и все	4	9
36	что они	7	9
37	но не	2	9
38	земли и	2	9
39	того что	5	8
40	на себя	5	8
41	того чтобы	2	8
42	их в	3	8
43	во всех	3	8
44	ее в	2	8
45	в этих	3	8
46	не в	3	7
47	а с	2	7
48	по этому	3	7
49	только в	2	7
50	а не	7	7
51	тому что	3	6
52	к тому	3	6
53	в нем	4	6
54	все эти	3	6
55	в первый	3	6
56	на земле	7	6
57	и потому	7	5
58	что он	4	5
59	прежде всего	2	5
60	для них	2	5
61	не было	3	5
62	тот же	3	5
63	в его	4	5
64	что от	2	5
65	можно было	2	5
66	не с	2	5
67	и для	3	5
68	с ним	2	5
69	его и	2	4
70	они и	2	4
71	в образе	4	4
72	могут быть	2	4
73	и тогда	2	4
74	во всяком	2	4
75	а к	2	4
76	за ним	3	4
77	в котором	4	4
78	в ней	4	4
79	никогда не	3	3
80	ее и	2	3
81	его к	2	3
82	в форме	2	3
83	что все	4	3
84	и это	2	3
85	и во	2	3
86	в своей	3	3
87	до того	2	3
88	нет и	2	3
89	хотя и	5	3
90	и то	2	3
91	которые не	2	3
92	от этого	3	3
93	не к	2	3
94	все что	4	3
95	что их	2	2
96	от него	2	2
97	в духе	2	2
98	в конце	3	2
99	вера в	2	2
100	и за	2	2
101	не так	2	2
102	тот кто	2	2
103	но мы	2	2
104	людей и	2	2
105	в старой	2	2
106	над ними	2	2
107	вот почему	2	2
108	когда в	2	2
109	для него	2	2
110	христа в	3	2
111	с его	3	2
112	счастье и	3	2
113	это еще	4	2
114	должно быть	3	2
115	в прошлом	2	2
116	как не	3	2
117	чтобы сделать	2	2
118	с презрением	2	2
119	что есть	5	2
120	к людям	6	2
121	в жизни	3	2
122	к нам	2	2
123	в чем	3	2
124	оно не	3	2
125	и теперь	2	2
126	значения и	2	2
127	говорить о	4	2
