N	2gram	Bakhtin_Fr	Sotsiolo
1	все это	16	7
2	в том	17	5
3	в этом	22	5
4	для нас	5	3
5	не только	24	3
6	в его	24	3
7	не в	4	3
8	и в	105	3
9	литературы и	7	2
10	это и	3	2
11	отношению к	2	2
12	по отношению	2	2
13	еще не	8	2
14	только в	16	2
15	что в	4	2
16	в частности	6	2
17	том что	9	2
18	было бы	4	2
19	таким образом	5	2
20	в смысле	2	2
21	то же	6	2
22	к которому	2	2
23	исторического развития	2	2
24	то что	7	2
25	как бы	33	2
26	но и	20	2
27	главным образом	6	2
28	в конце	3	2
29	за пределы	10	2
30	или даже	2	2
31	далеко не	6	2
32	может быть	11	2
33	по существу	2	2
