N	2gram	Medvedev_V	Tragedij
1	и в	26	18
2	в романе	4	10
3	в году	7	9
4	в этом	29	9
5	не только	26	8
6	и не	20	7
7	он сам	2	7
8	как бы	5	7
9	может быть	23	7
10	же время	5	6
11	что он	4	6
12	но в	2	6
13	и его	6	6
14	в образе	2	6
15	у него	6	6
16	все же	6	5
17	это не	7	5
18	то же	10	5
19	как и	7	5
20	так и	6	5
21	не может	17	5
22	в то	6	5
23	что в	11	4
24	еще не	2	4
25	в целом	5	4
26	но и	10	4
27	прежде всего	13	4
28	об этом	9	4
29	том что	8	4
30	в этой	4	4
31	так же	3	4
32	все это	13	4
33	в нем	7	4
34	то что	7	4
35	и даже	2	4
36	в себе	6	4
37	один из	6	3
38	и как	3	3
39	в своем	8	3
40	в его	15	3
41	все эти	8	3
42	и он	3	3
43	отнюдь не	4	3
44	о чем	2	3
45	в основном	7	3
46	и сам	2	3
47	должно быть	2	3
48	как это	12	3
49	для него	9	3
50	в конце	3	3
51	никогда не	5	2
52	в самом	4	2
53	по поводу	4	2
54	с тем	4	2
55	одна из	4	2
56	перед нами	5	2
57	в одном	5	2
58	его в	3	2
59	не могут	10	2
60	в ее	4	2
61	что все	4	2
62	к тому	5	2
63	а как	2	2
64	говорит о	7	2
65	о том	10	2
66	о его	2	2
67	писателя и	2	2
68	что и	3	2
69	не в	6	2
70	одном из	4	2
71	было в	2	2
72	по словам	8	2
73	в известной	2	2
74	в частности	12	2
75	только о	2	2
76	как у	2	2
77	он не	2	2
78	и ее	4	2
79	бы и	6	2
80	что она	2	2
81	из своих	2	2
82	в том	15	2
83	который в	2	2
84	как говорит	5	2
85	он и	2	2
86	с его	4	2
87	во сне	21	2
88	что говорит	3	2
