N	2gram	Ircho_Kome	Otkroven
1	у него	10	22
2	и в	37	19
3	но и	18	13
4	и не	28	13
5	в этом	18	12
6	не только	13	11
7	человека в	4	11
8	не в	7	11
9	а не	5	11
10	может быть	14	11
11	и все	6	10
12	человека и	2	10
13	в нем	8	10
14	вопрос о	2	10
15	никогда не	5	9
16	к человеку	2	9
17	потому что	19	9
18	не было	6	9
19	прежде всего	7	9
20	и он	5	8
21	он был	6	8
22	в его	12	7
23	до конца	4	7
24	нет ничего	4	7
25	от него	2	7
26	он не	11	7
27	но он	3	7
28	как и	10	6
29	все это	7	6
30	а в	12	5
31	в том	24	5
32	о его	4	5
33	него в	3	5
34	в самом	17	5
35	то что	5	5
36	в этой	7	5
37	отношение к	7	5
38	и его	10	4
39	что в	11	4
40	того чтобы	9	4
41	и мысли	3	4
42	на земле	2	4
43	т е	18	4
44	не может	9	4
45	что не	5	4
46	с его	6	4
47	в себе	4	3
48	и от	3	3
49	о том	21	3
50	это не	3	3
51	к нему	8	3
52	не могут	2	3
53	что он	15	3
54	и вот	3	3
55	было бы	7	3
56	для того	9	3
57	еще не	10	3
58	и есть	3	3
59	все что	6	3
60	в этих	2	3
61	в своих	4	3
62	когда он	5	3
63	и ее	3	3
64	никто не	2	3
65	как бы	7	3
66	хотя бы	5	3
67	могут быть	3	3
68	с ним	10	3
69	как к	3	2
70	одно из	3	2
71	сказать что	4	2
72	и на	6	2
73	с тем	6	2
74	уже в	3	2
75	что же	2	2
76	и для	7	2
77	в уста	2	2
78	у кого	2	2
79	и там	3	2
80	о любви	3	2
81	не имеет	6	2
82	ничего не	6	2
83	и с	5	2
84	любовь к	4	2
85	что и	12	2
86	и потому	2	2
87	в ее	3	2
88	в других	4	2
89	в своем	9	2
90	и этим	3	2
91	тем что	12	2
92	человека а	2	2
93	но в	7	2
94	том что	22	2
95	для человека	2	2
96	к этой	2	2
97	что для	7	2
98	же можно	2	2
99	все же	9	2
100	о которой	2	2
101	в своей	6	2
102	он в	2	2
103	так как	16	2
104	что у	2	2
105	должен был	6	2
106	что они	3	2
107	в истории	2	2
108	так что	7	2
109	и о	3	2
110	с которой	2	2
111	к этому	11	2
112	все еще	2	2
113	и к	4	2
114	так и	4	2
115	в которой	6	2
116	которую он	3	2
117	к ней	9	2
118	хотя и	6	2
119	его не	3	2
120	и любовь	2	2
121	в другом	2	2
122	ни у	2	2
123	сразу же	5	2
124	чем в	5	2
125	его в	9	2
