N	2gram	Losev_Prob	OGranits
1	и в	64	13
2	и его	3	12
3	прежде всего	17	9
4	и не	63	8
5	не может	18	8
6	может быть	29	8
7	в его	12	7
8	и пр	4	7
9	и их	4	7
10	точки зрения	5	7
11	не только	37	6
12	мы должны	5	6
13	как бы	18	6
14	таким образом	9	6
15	только в	19	6
16	то что	72	6
17	языка и	5	5
18	все же	7	5
19	с точки	3	5
20	но ведь	6	5
21	и наконец	3	5
22	хотя бы	15	5
23	мы можем	8	4
24	еще и	9	4
25	но в	19	4
26	только и	5	4
27	лишь в	4	4
28	то же	10	4
29	в сознании	5	4
30	но мы	3	4
31	тех пор	4	4
32	не является	12	4
33	в своей	8	4
34	все это	11	4
35	было бы	16	4
36	вопроса о	3	4
37	мы не	6	4
38	до тех	4	4
39	никогда не	8	3
40	да и	11	3
41	языка как	2	3
42	и для	10	3
43	слово в	2	3
44	общего с	10	3
45	и то	15	3
46	и все	9	3
47	в ее	3	3
48	с этим	7	3
49	и уже	4	3
50	как и	7	3
51	в пределах	2	3
52	не в	6	3
53	в их	7	3
54	говорить о	14	3
55	ничего общего	14	3
56	так как	16	3
57	в себе	16	3
58	что в	21	3
59	г в	2	3
60	но для	3	3
61	самом деле	10	3
62	есть прежде	3	3
63	за пределы	6	3
64	так и	17	3
65	что же	18	3
66	в которой	2	3
67	не как	2	3
68	в искусстве	3	3
69	но и	23	3
70	в самом	10	2
71	могут быть	2	2
72	может иметь	3	2
73	мы видим	2	2
74	собственно говоря	4	2
75	она является	3	2
76	конечно в	2	2
77	в этом	30	2
78	смысле слова	11	2
79	в них	8	2
80	для себя	9	2
81	и должно	2	2
82	данном случае	10	2
83	кажется что	2	2
84	уже в	6	2
85	путем отвлечения	2	2
86	отношений между	2	2
87	в том	19	2
88	тем что	10	2
89	в отношении	7	2
90	есть не	10	2
91	несмотря на	6	2
92	если бы	8	2
93	от этого	2	2
94	думать что	2	2
95	о языке	3	2
96	с одной	4	2
97	не имеет	8	2
98	или иного	6	2
99	зависимости от	2	2
100	случае и	2	2
101	роль в	2	2
102	и др	2	2
103	говорить об	2	2
104	ее в	2	2
105	в действительности	5	2
106	с другой	8	2
107	слова и	5	2
108	от всех	2	2
109	человеческой речи	3	2
110	а в	7	2
111	и тем	16	2
112	том что	26	2
113	того или	8	2
114	а также	6	2
115	только его	4	2
116	и к	2	2
117	в языке	13	2
118	в связи	7	2
119	с историей	2	2
120	в зависимости	2	2
121	в данном	16	2
122	в общем	5	2
123	не менее	26	2
124	и следовательно	6	2
125	все эти	15	2
126	к предмету	3	2
127	в области	8	2
128	что эта	2	2
129	так же	12	2
130	иным как	2	2
131	мы считаем	3	2
132	что они	5	2
133	мы уже	8	2
134	и при	4	2
135	и может	2	2
136	в своих	3	2
137	в нем	14	2
138	не на	4	2
139	в тех	2	2
140	при этом	8	2
141	сознания и	4	2
142	и ее	9	2
143	нет ничего	12	2
144	что иное	5	2
145	а не	21	2
146	между собою	9	2
147	чем иным	2	2
148	во всей	4	2
149	себе что	4	2
150	входит в	4	2
151	еще в	2	2
152	как в	5	2
153	другой стороны	7	2
154	но такое	2	2
155	который мы	2	2
156	и является	9	2
157	чем же	2	2
158	не чем	2	2
159	одной стороны	4	2
160	бы в	3	2
161	между тем	3	2
162	в целях	2	2
163	и этот	4	2
164	в чем	3	2
165	которое мы	2	2
166	только ее	2	2
167	на язык	2	2
168	тот же	4	2
169	иное как	5	2
170	не что	5	2
171	в другом	2	2
172	самого начала	2	2
173	вовсе не	60	2
174	в ряд	2	2
175	к сожалению	6	2
176	представим себе	2	2
177	с самого	3	2
178	учение о	5	2
179	к тому	5	2
180	для него	2	2
