N	3gram	Voloshinov	Literetu
1	в то же	6	21
2	то же время	6	21
3	в том что	9	21
4	по отношению к	11	12
5	с одной стороны	2	12
6	в данном случае	4	11
7	в отличие от	2	11
8	не может быть	14	11
9	в конечном счете	3	10
10	о том что	3	10
11	в этом отношении	4	10
12	с точки зрения	15	8
13	тем не менее	4	5
14	и прежде всего	7	4
15	бы то ни	3	4
16	то ни было	2	4
17	может быть это	2	4
18	во всяком случае	8	3
19	то же самое	2	3
20	на самом деле	4	3
21	в самом деле	10	3
22	в свою очередь	4	3
23	что же касается	3	2
24	это прежде всего	2	2
25	для того чтобы	3	2
26	только то что	3	2
27	сказать и о	2	2
28	а с другой	2	2
29	к тому что	2	2
30	одним из наиболее	2	2
31	что он сам	2	2
32	в другом месте	2	2
33	по отношению ко	2	2
