N	2gram	Bakhtin_Pr	VelikijI
1	великого инквизитора	2	36
2	и не	66	20
3	и в	59	16
4	так как	11	9
5	то что	21	9
6	еще не	11	8
7	в истории	3	8
8	и потому	9	7
9	что они	3	7
10	а не	30	7
11	не есть	2	6
12	человека и	2	6
13	в мире	10	5
14	как бы	40	5
15	на себя	3	5
16	но и	22	5
17	все это	12	5
18	того что	4	5
19	что все	5	4
20	и все	4	4
21	как и	21	4
22	в котором	6	4
23	потому что	20	4
24	все что	6	4
25	в нем	38	4
26	в образе	4	4
27	в ней	8	4
28	что не	6	4
29	во мне	2	4
30	что мы	2	4
31	в его	44	4
32	говорить о	3	4
33	в этом	40	4
34	что он	16	4
35	и есть	6	4
36	так и	13	4
37	никогда не	19	3
38	превращается в	4	3
39	в жизни	7	3
40	что в	14	3
41	в том	17	3
42	и для	5	3
43	от этого	2	3
44	не имеет	2	3
45	тому что	3	3
46	но в	7	3
47	ни в	5	3
48	их в	8	3
49	но это	7	3
50	бы и	6	3
51	должно быть	4	3
52	оно не	2	3
53	хотя бы	5	3
54	этого мира	6	3
55	в своей	17	3
56	во всех	8	3
57	в конце	9	3
58	за ним	2	3
59	по этому	2	3
60	в них	5	3
61	жизни и	21	3
62	как не	9	3
63	что и	10	3
64	не было	5	3
65	лишь в	4	3
66	если не	2	3
67	и что	2	3
68	не в	10	3
69	все эти	12	3
70	в этих	5	3
71	что я	2	3
72	должна быть	4	3
73	в чем	2	3
74	тот же	4	3
75	с его	14	3
76	под этим	2	2
77	да и	3	2
78	они и	3	2
79	одна из	4	2
80	не так	3	2
81	но не	13	2
82	нет и	4	2
83	не могли	3	2
84	ее и	2	2
85	и это	5	2
86	это не	13	2
87	ее в	2	2
88	не только	26	2
89	не могут	6	2
90	а в	9	2
91	том что	15	2
92	мир и	6	2
93	его к	4	2
94	и во	2	2
95	понимает и	2	2
96	от него	3	2
97	во всяком	5	2
98	мы слышим	2	2
99	уже не	14	2
100	могут быть	5	2
101	в духе	3	2
102	к нам	2	2
103	один из	4	2
104	ивана карамазова	9	2
105	вера в	2	2
106	для их	2	2
107	для них	3	2
108	того чтобы	5	2
109	мира в	6	2
110	тем что	5	2
111	вот почему	3	2
112	мы не	3	2
113	конечно не	7	2
114	что было	4	2
115	можно было	5	2
116	только в	15	2
117	а есть	3	2
118	и сам	5	2
119	в форме	8	2
120	все равно	3	2
121	его и	4	2
122	и над	2	2
123	для нас	3	2
124	в себя	3	2
125	людей и	2	2
126	прежде всего	17	2
127	с ним	13	2
128	его не	2	2
129	всего в	2	2
130	между тем	5	2
131	мы и	2	2
132	а с	4	2
133	для него	23	2
